task,seed,category,phase,control_step,arm,progress,delta_vs_lambda_0p5,mean_action_l2,mean_residual_norm,final_success
close_drawer,0,rescue,approach,0,dynamic_l11_lambda_0p5,0.10355152025089831,0.0,0.04528413610455588,179.95262908935547,0
close_drawer,0,rescue,approach,0,dynamic_l11_lambda_0p25,0.09605427508544034,-0.007497245165457966,0.034231170113137345,170.5045944213867,0
close_drawer,0,rescue,approach,0,clean_lambda_0,0.1250645799829972,0.021513059732098883,0.0,172.76865234375,0
close_drawer,0,rescue,contact_or_motion,23,dynamic_l11_lambda_0p5,0.09633979946374893,0.0,0.08230076617804649,173.73473510742187,0
close_drawer,0,rescue,contact_or_motion,23,dynamic_l11_lambda_0p25,0.1498935967683792,0.05355379730463028,0.07042693173389607,184.76024017333984,1
close_drawer,0,rescue,contact_or_motion,23,clean_lambda_0,0.11921288073062897,0.022873081266880035,0.0,180.71776885986327,0
close_drawer,0,rescue,late,90,dynamic_l11_lambda_0p5,-0.0,0.0,0.0,129.06055297851563,1
close_drawer,0,rescue,late,90,dynamic_l11_lambda_0p25,-0.0,0.0,0.0,129.06055297851563,1
close_drawer,0,rescue,late,90,clean_lambda_0,-0.0,0.0,0.0,129.06055297851563,1
close_drawer,1,rescue,approach,0,dynamic_l11_lambda_0p5,0.18267368334363587,0.0,0.10149295033544777,188.06084747314452,0
close_drawer,1,rescue,approach,0,dynamic_l11_lambda_0p25,0.1431362681180589,-0.039537415225576966,0.06462678743816824,156.6331111907959,0
close_drawer,1,rescue,approach,0,clean_lambda_0,0.15217549908276495,-0.03049818426087092,0.0,162.43227462768556,0
close_drawer,1,rescue,contact_or_motion,32,dynamic_l11_lambda_0p5,0.10466119647026062,0.0,0.07252823775318766,157.62975540161133,0
close_drawer,1,rescue,contact_or_motion,32,dynamic_l11_lambda_0p25,0.17148118279874325,0.06681998632848263,0.021215646932408076,167.91397552490236,1
close_drawer,1,rescue,contact_or_motion,32,clean_lambda_0,0.16781525872647762,0.063154062256217,0.0,169.50388107299804,1
close_drawer,1,rescue,late,90,dynamic_l11_lambda_0p5,-0.0,0.0,0.0,144.35735015869142,1
close_drawer,1,rescue,late,90,dynamic_l11_lambda_0p25,-0.0,0.0,0.0,144.35735015869142,1
close_drawer,1,rescue,late,90,clean_lambda_0,-0.0,0.0,0.0,144.35735015869142,1
close_drawer,2,rescue,approach,1,dynamic_l11_lambda_0p5,0.14997886467559934,0.0,0.0453053589033461,120.85310707092285,0
