layer,controls,tasks,mean_target_response,positive_response_fraction,synonym_jaccard
0,9,3,-1.0527152589937551e-06,0.4444444444444444,0.9939393939393941
1,9,3,1.2548671132943159e-05,0.4444444444444444,0.987936832936833
2,9,3,0.00010107936018169778,0.4444444444444444,0.9673012180091825
3,9,3,0.001547278647940688,1.0,0.9767968686995239
4,9,3,0.0006083337107184187,0.6666666666666666,0.9768315479447294
5,9,3,0.0005081016640061046,0.8888888888888888,0.9634734533104351
6,9,3,0.0053018108749253,0.6666666666666666,0.9661170810355719
7,9,3,0.02154820703656456,0.6666666666666666,0.9586062004273461
8,9,3,0.017134891824825135,0.8888888888888888,0.9522737708613773
9,9,3,0.016994797379765492,0.8888888888888888,0.9537259884210724
10,9,3,0.012155160947705334,0.7777777777777778,0.9498898613450351
11,9,3,0.028358420575250964,0.8888888888888888,0.9420341837709851
12,9,3,0.01263792462590295,0.8888888888888888,0.9563039631251088
13,9,3,0.007900791056727726,0.8888888888888888,0.9575706881156345
14,9,3,0.019775834406959254,0.7777777777777778,0.9567346569768552
15,9,3,0.0051627970254547965,0.7777777777777778,0.9621919736079028
16,9,3,0.008647312968992087,0.8888888888888888,0.959871842155413
17,9,3,0.013108398285279344,0.8888888888888888,0.9493689037612394
18,9,3,0.004212361765784689,0.6666666666666666,0.9521057212924531
19,9,3,0.005714772217170032,0.7777777777777778,0.956324270756036
20,9,3,0.005058881668759199,0.8888888888888888,0.957535249274886
21,9,3,0.01859856762453987,0.5555555555555556,0.9534527055338285
22,9,3,0.005970903947296568,0.6666666666666666,0.9545569798568926
23,9,3,0.0021996424678150687,0.6666666666666666,0.9372903743913245
24,9,3,0.010670074378611975,0.7777777777777778,0.9463965312878864
25,9,3,0.0030597452093658497,0.8888888888888888,0.9559305983541603
26,9,3,0.004526207082736059,0.6666666666666666,0.932275752568149
27,9,3,-0.0007618256547959418,0.5555555555555556,0.9508597068007983
28,9,3,0.0005173479652968194,0.4444444444444444,0.9424569167071936
29,9,3,0.0018368128118028992,0.4444444444444444,0.9244869473828967
30,9,3,-0.00027815628503527484,0.3333333333333333,0.9449754772458275
31,9,3,-0.0001949555000933898,0.2222222222222222,0.9513476126214833
