layer,k,tau,mean_pruned,max_pruned,zero_query_fraction,zero_state_fraction
11,64,0.5,0.2714285714285714,4,0.8095238095238095,0.6666666666666666
11,64,1.0,0.011904761904761904,1,0.9880952380952381,0.9333333333333333
11,64,1.5,0.0,0,1.0,1.0
11,109,0.5,0.03571428571428571,1,0.9642857142857143,0.9
11,109,1.0,0.0,0,1.0,1.0
11,109,1.5,0.0,0,1.0,1.0
11,154,0.5,0.009523809523809525,1,0.9904761904761905,0.9833333333333333
11,154,1.0,0.0,0,1.0,1.0
11,154,1.5,0.0,0,1.0,1.0
7,64,0.5,0.24761904761904763,5,0.8285714285714286,0.6666666666666666
7,64,1.0,0.016666666666666666,2,0.9857142857142858,0.9166666666666666
7,64,1.5,0.002380952380952381,1,0.9976190476190476,0.9833333333333333
7,109,0.5,0.06904761904761905,2,0.9333333333333333,0.85
7,109,1.0,0.002380952380952381,1,0.9976190476190476,0.9833333333333333
7,109,1.5,0.0,0,1.0,1.0
7,154,0.5,0.02619047619047619,1,0.9738095238095238,0.9166666666666666
7,154,1.0,0.0,0,1.0,1.0
7,154,1.5,0.0,0,1.0,1.0
