id,layer,mode,k,replacements
open_drawer__000__step_011,11,raw,64,0
open_drawer__000__step_011,11,raw,109,0
open_drawer__000__step_011,11,raw,154,0
open_drawer__000__step_011,11,corners,64,1
open_drawer__000__step_011,11,corners,109,2
open_drawer__000__step_011,11,corners,154,3
open_drawer__000__step_011,11,gaussian,64,13
open_drawer__000__step_011,11,gaussian,109,16
open_drawer__000__step_011,11,gaussian,154,19
open_drawer__000__step_011,11,both,64,14
open_drawer__000__step_011,11,both,109,18
open_drawer__000__step_011,11,both,154,20
open_drawer__000__step_011,7,raw,64,0
open_drawer__000__step_011,7,raw,109,0
open_drawer__000__step_011,7,raw,154,0
open_drawer__000__step_011,7,corners,64,2
open_drawer__000__step_011,7,corners,109,4
open_drawer__000__step_011,7,corners,154,4
open_drawer__000__step_011,7,gaussian,64,18
open_drawer__000__step_011,7,gaussian,109,25
open_drawer__000__step_011,7,gaussian,154,27
open_drawer__000__step_011,7,both,64,18
open_drawer__000__step_011,7,both,109,24
open_drawer__000__step_011,7,both,154,27
open_drawer__000__step_056,11,raw,64,0
open_drawer__000__step_056,11,raw,109,0
open_drawer__000__step_056,11,raw,154,0
open_drawer__000__step_056,11,corners,64,1
open_drawer__000__step_056,11,corners,109,2
open_drawer__000__step_056,11,corners,154,3
open_drawer__000__step_056,11,gaussian,64,13
open_drawer__000__step_056,11,gaussian,109,20
open_drawer__000__step_056,11,gaussian,154,27
open_drawer__000__step_056,11,both,64,14
open_drawer__000__step_056,11,both,109,21
open_drawer__000__step_056,11,both,154,27
open_drawer__000__step_056,7,raw,64,0
open_drawer__000__step_056,7,raw,109,0
open_drawer__000__step_056,7,raw,154,0
open_drawer__000__step_056,7,corners,64,2
open_drawer__000__step_056,7,corners,109,3
open_drawer__000__step_056,7,corners,154,3
open_drawer__000__step_056,7,gaussian,64,15
open_drawer__000__step_056,7,gaussian,109,27
open_drawer__000__step_056,7,gaussian,154,24
open_drawer__000__step_056,7,both,64,16
open_drawer__000__step_056,7,both,109,27
open_drawer__000__step_056,7,both,154,24
open_drawer__000__step_101,11,raw,64,0
open_drawer__000__step_101,11,raw,109,0
open_drawer__000__step_101,11,raw,154,0
open_drawer__000__step_101,11,corners,64,0
