layer,exp_top_alignment,exp_top_alignment_rank,exp_semantic_separation,exp_semantic_separation_rank,exp_mask_jaccard_separation,exp_mask_jaccard_separation_rank,val_top_alignment,val_top_alignment_rank,val_semantic_separation,val_semantic_separation_rank,val_mask_jaccard_separation,val_mask_jaccard_separation_rank,mean_action_alignment,mean_semantic_separation
0,0.311624212686936,12,0.01072748117616623,19,-0.0005722734915867281,29,0.2317906113556618,23,-0.005071774394995248,26,-0.008741836112824563,28,0.2717074120212989,0.002827853390585491
1,0.31921003429526884,10,-0.011857301424030344,32,-0.021239517610198395,32,0.32204213102248563,1,-0.005348399466017432,27,-0.021098890013899987,30,0.32062608265887726,-0.008602850445023888
2,0.27335169083068,21,0.00027419995501636534,27,0.002058622123582118,26,0.2465517036418813,17,-0.019629659707095792,31,-0.007034649916682273,25,0.25995169723628064,-0.009677729876039714
3,0.28166635198773143,18,0.017153753900214945,18,0.006573995882115484,22,0.2569788848192011,14,0.024514191110935033,14,0.041795634395431054,13,0.2693226184034663,0.02083397250557499
4,0.3012192858821655,15,0.05178409488891715,12,0.03557748056256727,16,0.2727537268360728,10,0.03694320372008427,11,0.07486086071151402,6,0.28698650635911915,0.04436364930450071
5,0.30202090172861995,14,0.03890105515887891,13,0.04438343789978601,14,0.24652685086594364,18,0.020053097759131142,17,0.034652749278090055,15,0.2742738762972818,0.029477076459005026
6,0.32787152474453907,9,0.054997975647859895,11,0.0541840853252575,13,0.29105088762849163,4,0.027363419695124062,13,0.03561260075496746,14,0.30946120618651535,0.041180697671491975
7,0.33769831408051304,7,0.0937965267141741,3,0.07586982217343104,8,0.2733754692476404,9,0.03291855561069899,12,0.06385693745172387,10,0.3055368916640767,0.06335754116243654
8,0.33757896505879315,8,0.020990432686073875,16,0.07002805980241911,9,0.30431093989312885,2,0.04627344553740526,10,0.07825519876808638,5,0.320944952475961,0.03363193911173957
9,0.35089000622899025,3,0.08509076411047649,4,0.0894333692557791,6,0.2776933321791374,7,0.07425799864840527,4,0.07000456145013265,8,0.3142916692040638,0.07967438137944088
10,0.3564642366075839,1,0.07659544121864478,6,0.06817415472322072,10,0.26927816474814603,11,0.0825708459687627,3,0.08921556529409799,3,0.312871200677865,0.07958314359370375
