task,outcome_group,alpha,spatial_mode,n,jaccard_l11,l11_retention,lost_from_l11,new_vs_l11,components,isolated_ratio,largest_component_ratio,synonym_mask_jaccard,target_response,target_mask_response,target_correct_both
ALL,ALL,0.5,both,90,0.6283625944602741,0.7653855358257441,7.477777777777778,7.477777777777778,3.488888888888889,0.03538852603751302,0.7677252436658896,0.9194334783595673,0.054601135583151175,0.106278722606242,0.7777777777777778
ALL,ALL,0.5,corners,90,0.7456978351670387,0.849138676065591,4.411111111111111,4.411111111111111,7.688888888888889,0.14663445205573508,0.5658856951703566,0.9130122018998964,0.06684839546835152,0.07838447770774602,0.7777777777777778
ALL,ALL,0.5,gaussian,90,0.6320201214083936,0.7679927633836251,7.366666666666666,7.366666666666666,3.5555555555555554,0.035401187876613574,0.7646491057508907,0.9187789744801151,0.05433391771661412,0.1074361300136494,0.7777777777777778
ALL,ALL,0.5,raw,90,0.7486851270802084,0.8511222787053785,4.333333333333333,4.333333333333333,7.7,0.1447933292845899,0.5628860301489091,0.9124599317084215,0.06653233726423784,0.07722707030033862,0.7777777777777778
ALL,ALL,0.75,both,90,0.651272118877897,0.784144233359898,6.988888888888889,6.988888888888889,3.522222222222222,0.03543554158270922,0.7735027374160252,0.9074388674145873,0.059143412454217,0.10470197895960588,0.7777777777777778
ALL,ALL,0.75,corners,90,0.8381881092420169,0.9091461874637885,2.6777777777777776,2.6777777777777776,7.155555555555556,0.12474331658034583,0.581088802753573,0.8951714502975048,0.07449232357947883,0.0845708838941522,0.7777777777777778
ALL,ALL,0.75,gaussian,90,0.6555114325815878,0.7874607624084689,6.855555555555555,6.855555555555555,3.6333333333333333,0.03686886426129578,0.7687755311339526,0.907703202697319,0.058826282988566306,0.10470197895960588,0.7777777777777778
ALL,ALL,0.75,raw,90,0.8408029857184047,0.9108020172758033,2.611111111111111,2.611111111111111,7.177777777777778,0.12324486930171279,0.57802460726343,0.8939570236629346,0.07409357404186395,0.0834134764867448,0.7777777777777778
ALL,ALL,0.9,both,90,0.6672096437469907,0.7965866825565598,6.677777777777778,6.677777777777778,3.3555555555555556,0.027420444476368717,0.7927092987925665,0.9015587122710139,0.06256450511983444,0.10765388439807046,0.7777777777777778
ALL,ALL,0.9,corners,90,0.925118257943262,0.9596226255051609,1.2777777777777777,1.2777777777777777,6.944444444444445,0.10689880969448527,0.5923439315287884,0.8982073566388856,0.0802424104006918,0.07888336604578165,0.7777777777777778
ALL,ALL,0.9,gaussian,90,0.6690250038642026,0.7978727391799726,6.633333333333334,6.633333333333334,3.4444444444444446,0.028966448993035184,0.7886887523320278,0.8996174709477457,0.06220952746050548,0.10765388439807046,0.7777777777777778
ALL,ALL,0.9,raw,90,0.9282737522718204,0.9614197642482738,1.2,1.2,7.0,0.10734430777566148,0.5906955028356161,0.8970493720110247,0.07977994561356204,0.08004077345318905,0.7777777777777778
ALL,ALL,1.0,both,90,0.6648620939377463,0.7945682773659276,6.688888888888889,6.688888888888889,3.3555555555555556,0.029196934581760623,0.7907866179465289,0.8947336093982184,0.06524765165381685,0.10562435279864636,0.7777777777777778
ALL,ALL,1.0,corners,90,0.9884834975066752,0.9940408503947964,0.23333333333333334,0.23333333333333334,6.822222222222222,0.10338340967377659,0.5922338782689122,0.8859733554147363,0.08474540745315198,0.07327962549424165,0.7777777777777778
ALL,ALL,1.0,gaussian,90,0.6661634826025667,0.7955632025667545,6.644444444444445,6.644444444444445,3.4444444444444446,0.030991392338901604,0.788416204081069,0.8944915941818209,0.06486264354416399,0.10562435279864636,0.7777777777777778
ALL,ALL,1.0,raw,90,1.0,1.0,0.0,0.0,6.9222222222222225,0.10441333662165238,0.5883830637438245,0.8888303311912288,0.08423165122861907,0.07327962549424165,0.7777777777777778
ALL,both_fail,0.5,both,30,0.6031630414669203,0.7454598866356251,7.233333333333333,7.233333333333333,3.4,0.04204464734197615,0.775376066613716,0.920987649917876,0.06001853922486772,0.05119047619047619,1.0
ALL,both_fail,0.5,corners,30,0.7236903523883881,0.833006804286797,4.333333333333333,4.333333333333333,7.833333333333333,0.17021259631056787,0.5369701745837909,0.9154032135841759,0.07465032076816414,0.058333333333333334,1.0
ALL,both_fail,0.5,gaussian,30,0.6098681676457306,0.7504695961932069,7.033333333333333,7.033333333333333,3.5,0.04257529577156076,0.7706787515174648,0.918614357352638,0.05965059153901615,0.05119047619047619,1.0
ALL,both_fail,0.5,raw,30,0.7247210210661156,0.8338198124168784,4.3,4.3,7.833333333333333,0.17031638458249312,0.5362757301393465,0.9169166871906728,0.07419722807826375,0.058333333333333334,1.0
ALL,both_fail,0.75,both,30,0.6324942429171652,0.770985063346464,6.8,6.8,3.2666666666666666,0.03721179419676987,0.7818444316338579,0.8965003703009774,0.06308194603844561,0.06845238095238096,1.0
ALL,both_fail,0.75,corners,30,0.8288311867048539,0.9039257162594784,2.6666666666666665,2.6666666666666665,7.3,0.130526726853998,0.5514562858904978,0.8810019184128088,0.08024207787445253,0.07976190476190476,1.0
ALL,both_fail,0.75,gaussian,30,0.6381513633637539,0.7751986063430893,6.633333333333334,6.633333333333334,3.3666666666666667,0.0360660664021059,0.7757790367853804,0.9030910436336029,0.06267400120086278,0.06845238095238096,1.0
ALL,both_fail,0.75,raw,30,0.8299468329633573,0.9047387243895597,2.6333333333333333,2.6333333333333333,7.233333333333333,0.1291378379651091,0.5507470660323418,0.878506794951885,0.07972770327230852,0.07976190476190476,1.0
ALL,both_fail,0.9,both,30,0.6461921583867384,0.781546321793097,6.566666666666666,6.566666666666666,3.066666666666667,0.02284610610429567,0.7906219250243999,0.9015092095421848,0.0657328556423643,0.07559523809523809,1.0
ALL,both_fail,0.9,corners,30,0.9326647425535425,0.9639127862314895,1.1333333333333333,1.1333333333333333,6.833333333333333,0.10397987822542357,0.5642351707884828,0.8994046066961335,0.08489325682846202,0.06130952380952381,1.0
ALL,both_fail,0.9,gaussian,30,0.6488223776298608,0.7836444305401418,6.5,6.5,3.1333333333333333,0.024697957956147525,0.789233036135511,0.9004241755285793,0.0652959821862157,0.07559523809523809,1.0
ALL,both_fail,0.9,raw,30,0.9326647425535425,0.9639127862314895,1.1333333333333333,1.1333333333333333,6.833333333333333,0.10421700559669729,0.5628315064858823,0.901866145157672,0.08433260067206216,0.06130952380952381,1.0
ALL,both_fail,1.0,both,30,0.6429673205505438,0.7798709846607423,6.666666666666667,6.666666666666667,3.066666666666667,0.021728897637282085,0.7920805371375373,0.8967638230894647,0.06802298366774928,0.07559523809523809,1.0
ALL,both_fail,1.0,corners,30,0.9889410430839002,0.9942963299313845,0.2,0.2,6.766666666666667,0.10588112207277704,0.5541153849085984,0.8919788915886875,0.08880713693216037,0.04702380952380952,1.0
ALL,both_fail,1.0,gaussian,30,0.6449659263123609,0.7813784372352681,6.6,6.6,3.1666666666666665,0.02356597407542235,0.7884749758159667,0.8980277581208416,0.06756395287879623,0.07559523809523809,1.0
ALL,both_fail,1.0,raw,30,1.0,1.0,0.0,0.0,6.833333333333333,0.10729956178908909,0.54978582831516,0.8958293189391149,0.08820994552470385,0.04702380952380952,1.0
ALL,both_success,0.5,both,27,0.6608848048672045,0.7932588309532982,7.962962962962963,7.962962962962963,3.6296296296296298,0.03260051860115204,0.7740475165397123,0.9350774754897527,0.017385917548074316,0.018038163387000594,1.0
ALL,both_success,0.5,corners,27,0.7788560122963367,0.872966195019158,4.592592592592593,4.592592592592593,8.185185185185185,0.12239603245421457,0.5835056079753901,0.9289381295509407,0.020920325267195714,0.043082886106141915,1.0
ALL,both_success,0.5,gaussian,27,0.6627963347630336,0.7946127937562473,7.888888888888889,7.888888888888889,3.6666666666666665,0.031252196707220604,0.7723202991262204,0.9355560815625329,0.01735866539673169,0.018038163387000594,1.0
ALL,both_success,0.5,raw,27,0.7799599800864528,0.873692411431649,4.555555555555555,4.555555555555555,8.148148148148149,0.11941988241924101,0.5796276727249058,0.9274733265381662,0.020887684790423834,0.043082886106141915,1.0
ALL,both_success,0.75,both,27,0.6788086955703557,0.806445551591927,7.407407407407407,7.407407407407407,3.7037037037037037,0.03312484662503398,0.7940617894496802,0.9199519933188876,0.023591486865608365,0.024448419797257006,1.0
ALL,both_success,0.75,corners,27,0.8719476636459774,0.9303439309551129,2.5555555555555554,2.5555555555555554,7.592592592592593,0.11133566676071407,0.6016419481517443,0.9116424060032775,0.028939724241202728,0.04949314251639833,1.0
