dataset,task,seed,step,state_id,outcome_group,alpha,spatial_mode,m_t,jaccard_l11,l11_retention,lost_from_l11,new_vs_l11,components,isolated_ratio,largest_component_ratio,synonym_mask_jaccard,target_response,target_mask_response,target_correct_both
cached_90,move_near,0,8,google_robot_move_near__seed000__step008,both_success,1.0,raw,43,1.0,1.0,0,0,9,0.09302325581395349,0.6976744186046512,0.9545454545454546,0.043906901179143074,0.023255813953488372,1
cached_90,move_near,0,8,google_robot_move_near__seed000__step008,both_success,1.0,corners,43,1.0,1.0,0,0,9,0.09302325581395349,0.6976744186046512,0.9545454545454546,0.04393712779065244,0.023255813953488372,1
cached_90,move_near,0,8,google_robot_move_near__seed000__step008,both_success,1.0,gaussian,43,0.7551020408163265,0.8604651162790697,6,6,5,0.046511627906976744,0.7906976744186046,0.9545454545454546,0.03411111210586612,0.023255813953488372,1
cached_90,move_near,0,8,google_robot_move_near__seed000__step008,both_success,1.0,both,43,0.7551020408163265,0.8604651162790697,6,6,5,0.046511627906976744,0.7906976744186046,0.9545454545454546,0.03413472392453362,0.023255813953488372,1
cached_90,move_near,0,8,google_robot_move_near__seed000__step008,both_success,0.9,raw,43,0.9111111111111111,0.9534883720930233,2,2,9,0.11627906976744186,0.6976744186046512,0.9111111111111111,0.03964597035075884,0.011627906976744186,1
cached_90,move_near,0,8,google_robot_move_near__seed000__step008,both_success,0.9,corners,43,0.9111111111111111,0.9534883720930233,2,2,9,0.11627906976744186,0.6976744186046512,0.9111111111111111,0.0396763478454088,0.011627906976744186,1
cached_90,move_near,0,8,google_robot_move_near__seed000__step008,both_success,0.9,gaussian,43,0.7551020408163265,0.8604651162790697,6,6,5,0.023255813953488372,0.7906976744186046,1.0,0.031157592887208287,0.023255813953488372,1
cached_90,move_near,0,8,google_robot_move_near__seed000__step008,both_success,0.9,both,43,0.7551020408163265,0.8604651162790697,6,6,5,0.023255813953488372,0.7906976744186046,1.0,0.031181611163510703,0.023255813953488372,1
cached_90,move_near,0,8,google_robot_move_near__seed000__step008,both_success,0.75,raw,43,0.8695652173913043,0.9302325581395349,3,3,7,0.046511627906976744,0.6511627906976745,0.9111111111111111,0.03420481240376595,0.03488372093023256,1
cached_90,move_near,0,8,google_robot_move_near__seed000__step008,both_success,0.75,corners,43,0.8695652173913043,0.9302325581395349,3,3,7,0.046511627906976744,0.6511627906976745,0.9111111111111111,0.034234537986170314,0.03488372093023256,1
cached_90,move_near,0,8,google_robot_move_near__seed000__step008,both_success,0.75,gaussian,43,0.7551020408163265,0.8604651162790697,6,6,5,0.023255813953488372,0.7674418604651163,0.9111111111111111,0.027383453178703197,0.023255813953488372,1
cached_90,move_near,0,8,google_robot_move_near__seed000__step008,both_success,0.75,both,43,0.7551020408163265,0.8604651162790697,6,6,5,0.023255813953488372,0.7674418604651163,0.9111111111111111,0.027407395368415233,0.023255813953488372,1
cached_90,move_near,0,8,google_robot_move_near__seed000__step008,both_success,0.5,raw,43,0.7551020408163265,0.8604651162790697,6,6,8,0.06976744186046512,0.627906976744186,0.8695652173913043,0.027014275442960537,0.03488372093023256,1
cached_90,move_near,0,8,google_robot_move_near__seed000__step008,both_success,0.5,corners,43,0.7551020408163265,0.8604651162790697,6,6,8,0.06976744186046512,0.627906976744186,0.8695652173913043,0.0270416861180931,0.03488372093023256,1
