task,outcome_group,alpha,spatial_mode,n,jaccard_l11,l11_retention,lost_from_l11,new_vs_l11,components,isolated_ratio,largest_component_ratio,synonym_mask_jaccard,target_response,target_mask_response,target_correct_both
ALL,ALL,0.5,both,400,0.6188092543062139,0.7567881980085555,7.245,7.245,4.095,0.04139138409213773,0.6003960074494342,,,,
ALL,ALL,0.5,corners,400,0.697020531262379,0.8142436936300597,5.22,5.22,8.1925,0.16531297570050568,0.4468128749177234,,,,
ALL,ALL,0.5,gaussian,400,0.6230743375639826,0.759828872130696,7.115,7.115,4.2025,0.04154498100502062,0.5969299116073494,,,,
ALL,ALL,0.5,raw,400,0.700039525257898,0.8161638607321535,5.1325,5.1325,8.2675,0.16512189543856626,0.4431367700892347,,,,
ALL,ALL,0.75,both,400,0.6710708292311086,0.7975932463309632,6.025,6.025,3.8225,0.036573265859768424,0.5910648461647608,,,,
ALL,ALL,0.75,corners,400,0.8078740341863551,0.8903964934429395,3.14,3.14,7.965,0.16071320526855437,0.45184299634359176,,,,
ALL,ALL,0.75,gaussian,400,0.6760974740080499,0.8009755741699545,5.88,5.88,3.965,0.037371304333950695,0.5868483204484072,,,,
ALL,ALL,0.75,raw,400,0.8114422309861724,0.8924704647566276,3.0425,3.0425,8.04,0.16003252372452142,0.44797662687951,,,,
ALL,ALL,0.9,both,400,0.6890586052055079,0.8113235551140155,5.7025,5.7025,3.615,0.030761204635275288,0.5827100608560708,,,,
ALL,ALL,0.9,corners,400,0.9109328082968352,0.9518912278017905,1.4575,1.4575,7.38,0.14160127149237847,0.459461341933086,,,,
ALL,ALL,0.9,gaussian,400,0.6940585080692843,0.8146061584126607,5.555,5.555,3.7725,0.032563774838144564,0.5796690434367315,,,,
ALL,ALL,0.9,raw,400,0.9158583707198406,0.9545993062176811,1.3425,1.3425,7.5,0.1421762379107567,0.4553168094398734,,,,
ALL,ALL,1.0,both,400,0.6859074429149709,0.8094496164474916,5.79,5.79,3.465,0.027047146851064484,0.5800482465203912,,,,
ALL,ALL,1.0,corners,400,0.987806747637639,0.9937231529119805,0.265,0.265,7.125,0.1329241740032643,0.46330003543666537,,,,
ALL,ALL,1.0,gaussian,400,0.6908584725871733,0.8126856142191181,5.6625,5.6625,3.595,0.02836032259327573,0.5763011201148128,,,,
ALL,ALL,1.0,raw,400,1.0,1.0,0.0,0.0,7.2525,0.13440157420860344,0.4578476137981052,,,,
ALL,both_fail,0.5,both,121,0.6322844407282991,0.7677733724104056,7.066115702479339,7.066115702479339,4.1652892561983474,0.043186302899528455,0.5943017318576528,,,,
ALL,both_fail,0.5,corners,121,0.725802346368242,0.8358123129585089,4.768595041322314,4.768595041322314,8.140495867768594,0.1646927696506593,0.44426564821275316,,,,
ALL,both_fail,0.5,gaussian,121,0.6353522440448677,0.7699499695056652,6.975206611570248,6.975206611570248,4.24793388429752,0.04322208008040078,0.5915696903221745,,,,
ALL,both_fail,0.5,raw,121,0.7271123027033426,0.8366948610720296,4.7272727272727275,4.7272727272727275,8.132231404958677,0.16265796981405475,0.4428936669859725,,,,
ALL,both_fail,0.75,both,121,0.6761804217257474,0.8009757332924228,5.9421487603305785,5.9421487603305785,3.925619834710744,0.0377666504508225,0.5916430850234126,,,,
ALL,both_fail,0.75,corners,121,0.813017106678629,0.8930869181219412,3.0165289256198347,3.0165289256198347,7.768595041322314,0.1565291524685137,0.4514842307740993,,,,
ALL,both_fail,0.75,gaussian,121,0.678342633054085,0.8023184031571455,5.884297520661157,5.884297520661157,4.0,0.03687700379226793,0.5875258044385755,,,,
ALL,both_fail,0.75,raw,121,0.8154812056687448,0.8944967010935833,2.950413223140496,2.950413223140496,7.801652892561983,0.1542906964211428,0.4494735091300699,,,,
ALL,both_fail,0.9,both,121,0.6813260701311135,0.8038932339128858,5.760330578512397,5.760330578512397,3.628099173553719,0.028742058248695967,0.58828878784651,,,,
ALL,both_fail,0.9,corners,121,0.9182602260925503,0.9559331230675022,1.3140495867768596,1.3140495867768596,7.231404958677686,0.14253738160131374,0.45001056978695253,,,,
ALL,both_fail,0.9,gaussian,121,0.6856455421527257,0.8067759019306423,5.636363636363637,5.636363636363637,3.7107438016528924,0.028267601652485104,0.5848400653559218,,,,
ALL,both_fail,0.9,raw,121,0.920107800823785,0.956942332148247,1.2644628099173554,1.2644628099173554,7.297520661157025,0.14166797849307172,0.44840846177364097,,,,
ALL,both_fail,1.0,both,121,0.6771589932411064,0.8015316736143878,5.867768595041323,5.867768595041323,3.4628099173553717,0.02274359312783794,0.5901416113281663,,,,
ALL,both_fail,1.0,corners,121,0.9920178538893908,0.9959181530180484,0.18181818181818182,0.18181818181818182,7.115702479338843,0.13277076993269346,0.45065463429876557,,,,
ALL,both_fail,1.0,gaussian,121,0.6814936597373806,0.804415549886941,5.75206611570248,5.75206611570248,3.5289256198347108,0.022516960178992365,0.5872387031725446,,,,
ALL,both_fail,1.0,raw,121,1.0,1.0,0.0,0.0,7.1735537190082646,0.13120730551325793,0.4480999178685737,,,,
ALL,both_success,0.5,both,167,0.6172491819796717,0.7571642219684662,7.592814371257485,7.592814371257485,4.07185628742515,0.03400777796485839,0.5936626121146867,,,,
ALL,both_success,0.5,corners,167,0.6843147417227292,0.8060008150767832,5.682634730538922,5.682634730538922,8.353293413173652,0.14960387094147493,0.44440167566837074,,,,
ALL,both_success,0.5,gaussian,167,0.6220098794416037,0.7605593539951827,7.4431137724550895,7.4431137724550895,4.221556886227545,0.03499424045131535,0.5886648194607977,,,,
ALL,both_success,0.5,raw,167,0.688415465628852,0.8085540986877156,5.562874251497006,5.562874251497006,8.467065868263473,0.15041971877896967,0.4411857461906714,,,,
