task,outcome_group,alpha,spatial_mode,n,jaccard_l11,l11_retention,lost_from_l11,new_vs_l11,components,isolated_ratio,largest_component_ratio,synonym_mask_jaccard,target_response,target_mask_response,target_correct_both
ALL,both_fail,0.5,both,121,0.6322844407282991,0.7677733724104056,7.066115702479339,7.066115702479339,4.1652892561983474,0.043186302899528455,0.5943017318576528,,,,
ALL,both_fail,0.5,corners,121,0.725802346368242,0.8358123129585089,4.768595041322314,4.768595041322314,8.140495867768594,0.1646927696506593,0.44426564821275316,,,,
ALL,both_fail,0.5,gaussian,121,0.6353522440448677,0.7699499695056652,6.975206611570248,6.975206611570248,4.24793388429752,0.04322208008040078,0.5915696903221745,,,,
ALL,both_fail,0.5,raw,121,0.7271123027033426,0.8366948610720296,4.7272727272727275,4.7272727272727275,8.132231404958677,0.16265796981405475,0.4428936669859725,,,,
ALL,both_fail,0.75,both,121,0.6761804217257474,0.8009757332924228,5.9421487603305785,5.9421487603305785,3.925619834710744,0.0377666504508225,0.5916430850234126,,,,
ALL,both_fail,0.75,corners,121,0.813017106678629,0.8930869181219412,3.0165289256198347,3.0165289256198347,7.768595041322314,0.1565291524685137,0.4514842307740993,,,,
ALL,both_fail,0.75,gaussian,121,0.678342633054085,0.8023184031571455,5.884297520661157,5.884297520661157,4.0,0.03687700379226793,0.5875258044385755,,,,
ALL,both_fail,0.75,raw,121,0.8154812056687448,0.8944967010935833,2.950413223140496,2.950413223140496,7.801652892561983,0.1542906964211428,0.4494735091300699,,,,
ALL,both_fail,0.9,both,121,0.6813260701311135,0.8038932339128858,5.760330578512397,5.760330578512397,3.628099173553719,0.028742058248695967,0.58828878784651,,,,
ALL,both_fail,0.9,corners,121,0.9182602260925503,0.9559331230675022,1.3140495867768596,1.3140495867768596,7.231404958677686,0.14253738160131374,0.45001056978695253,,,,
ALL,both_fail,0.9,gaussian,121,0.6856455421527257,0.8067759019306423,5.636363636363637,5.636363636363637,3.7107438016528924,0.028267601652485104,0.5848400653559218,,,,
ALL,both_fail,0.9,raw,121,0.920107800823785,0.956942332148247,1.2644628099173554,1.2644628099173554,7.297520661157025,0.14166797849307172,0.44840846177364097,,,,
ALL,both_fail,1.0,both,121,0.6771589932411064,0.8015316736143878,5.867768595041323,5.867768595041323,3.4628099173553717,0.02274359312783794,0.5901416113281663,,,,
ALL,both_fail,1.0,corners,121,0.9920178538893908,0.9959181530180484,0.18181818181818182,0.18181818181818182,7.115702479338843,0.13277076993269346,0.45065463429876557,,,,
ALL,both_fail,1.0,gaussian,121,0.6814936597373806,0.804415549886941,5.75206611570248,5.75206611570248,3.5289256198347108,0.022516960178992365,0.5872387031725446,,,,
ALL,both_fail,1.0,raw,121,1.0,1.0,0.0,0.0,7.1735537190082646,0.13120730551325793,0.4480999178685737,,,,
ALL,both_success,0.5,both,167,0.6172491819796717,0.7571642219684662,7.592814371257485,7.592814371257485,4.07185628742515,0.03400777796485839,0.5936626121146867,,,,
ALL,both_success,0.5,corners,167,0.6843147417227292,0.8060008150767832,5.682634730538922,5.682634730538922,8.353293413173652,0.14960387094147493,0.44440167566837074,,,,
ALL,both_success,0.5,gaussian,167,0.6220098794416037,0.7605593539951827,7.4431137724550895,7.4431137724550895,4.221556886227545,0.03499424045131535,0.5886648194607977,,,,
ALL,both_success,0.5,raw,167,0.688415465628852,0.8085540986877156,5.562874251497006,5.562874251497006,8.467065868263473,0.15041971877896967,0.4411857461906714,,,,
ALL,both_success,0.75,both,167,0.682157587458635,0.8071910319632717,6.137724550898204,6.137724550898204,3.7784431137724552,0.03240238109128885,0.5870013741396315,,,,
