dataset,task,seed,step,state_id,outcome_group,l11_success,sparse_success,alpha,spatial_mode,m_t,jaccard_l11,l11_retention,lost_from_l11,new_vs_l11,components,isolated_ratio,largest_component_ratio
initial_400,open_drawer,0,0,google_robot_open_drawer__seed000__initial,both_fail,0,0,1.0,raw,49,1.0,1.0,0,0,8,0.08163265306122448,0.4897959183673469
initial_400,open_drawer,0,0,google_robot_open_drawer__seed000__initial,both_fail,0,0,1.0,corners,49,0.96,0.9795918367346939,1,1,8,0.10204081632653061,0.5102040816326531
initial_400,open_drawer,0,0,google_robot_open_drawer__seed000__initial,both_fail,0,0,1.0,gaussian,49,0.7818181818181819,0.8775510204081632,6,6,3,0.0,0.6122448979591837
initial_400,open_drawer,0,0,google_robot_open_drawer__seed000__initial,both_fail,0,0,1.0,both,49,0.75,0.8571428571428571,7,7,3,0.02040816326530612,0.6122448979591837
initial_400,open_drawer,0,0,google_robot_open_drawer__seed000__initial,both_fail,0,0,0.9,raw,49,0.96,0.9795918367346939,1,1,8,0.08163265306122448,0.4897959183673469
initial_400,open_drawer,0,0,google_robot_open_drawer__seed000__initial,both_fail,0,0,0.9,corners,49,0.9215686274509803,0.9591836734693877,2,2,8,0.10204081632653061,0.4897959183673469
initial_400,open_drawer,0,0,google_robot_open_drawer__seed000__initial,both_fail,0,0,0.9,gaussian,49,0.7818181818181819,0.8775510204081632,6,6,3,0.0,0.6326530612244898
initial_400,open_drawer,0,0,google_robot_open_drawer__seed000__initial,both_fail,0,0,0.9,both,49,0.75,0.8571428571428571,7,7,3,0.02040816326530612,0.6326530612244898
initial_400,open_drawer,0,0,google_robot_open_drawer__seed000__initial,both_fail,0,0,0.75,raw,49,0.9215686274509803,0.9591836734693877,2,2,8,0.08163265306122448,0.46938775510204084
initial_400,open_drawer,0,0,google_robot_open_drawer__seed000__initial,both_fail,0,0,0.75,corners,49,0.8846153846153846,0.9387755102040817,3,3,8,0.10204081632653061,0.4897959183673469
initial_400,open_drawer,0,0,google_robot_open_drawer__seed000__initial,both_fail,0,0,0.75,gaussian,49,0.7192982456140351,0.8367346938775511,8,8,4,0.02040816326530612,0.5918367346938775
initial_400,open_drawer,0,0,google_robot_open_drawer__seed000__initial,both_fail,0,0,0.75,both,49,0.7192982456140351,0.8367346938775511,8,8,3,0.02040816326530612,0.6326530612244898
initial_400,open_drawer,0,0,google_robot_open_drawer__seed000__initial,both_fail,0,0,0.5,raw,49,0.7818181818181819,0.8775510204081632,6,6,8,0.10204081632653061,0.5510204081632653
initial_400,open_drawer,0,0,google_robot_open_drawer__seed000__initial,both_fail,0,0,0.5,corners,49,0.75,0.8571428571428571,7,7,9,0.14285714285714285,0.5510204081632653
initial_400,open_drawer,0,0,google_robot_open_drawer__seed000__initial,both_fail,0,0,0.5,gaussian,49,0.6610169491525424,0.7959183673469388,10,10,3,0.0,0.6122448979591837
initial_400,open_drawer,0,0,google_robot_open_drawer__seed000__initial,both_fail,0,0,0.5,both,49,0.6610169491525424,0.7959183673469388,10,10,4,0.04081632653061224,0.6122448979591837
initial_400,open_drawer,1,0,google_robot_open_drawer__seed001__initial,l11_win,1,0,1.0,raw,5,1.0,1.0,0,0,3,0.4,0.6
initial_400,open_drawer,1,0,google_robot_open_drawer__seed001__initial,l11_win,1,0,1.0,corners,5,1.0,1.0,0,0,3,0.4,0.6
initial_400,open_drawer,1,0,google_robot_open_drawer__seed001__initial,l11_win,1,0,1.0,gaussian,5,0.42857142857142855,0.6,2,2,2,0.2,0.8
initial_400,open_drawer,1,0,google_robot_open_drawer__seed001__initial,l11_win,1,0,1.0,both,5,0.42857142857142855,0.6,2,2,2,0.2,0.8
initial_400,open_drawer,1,0,google_robot_open_drawer__seed001__initial,l11_win,1,0,0.9,raw,5,0.42857142857142855,0.6,2,2,4,0.6,0.4
initial_400,open_drawer,1,0,google_robot_open_drawer__seed001__initial,l11_win,1,0,0.9,corners,5,0.42857142857142855,0.6,2,2,4,0.6,0.4
initial_400,open_drawer,1,0,google_robot_open_drawer__seed001__initial,l11_win,1,0,0.9,gaussian,5,0.42857142857142855,0.6,2,2,2,0.0,0.6
initial_400,open_drawer,1,0,google_robot_open_drawer__seed001__initial,l11_win,1,0,0.9,both,5,0.42857142857142855,0.6,2,2,2,0.0,0.6
initial_400,open_drawer,1,0,google_robot_open_drawer__seed001__initial,l11_win,1,0,0.75,raw,5,0.42857142857142855,0.6,2,2,4,0.6,0.4
initial_400,open_drawer,1,0,google_robot_open_drawer__seed001__initial,l11_win,1,0,0.75,corners,5,0.42857142857142855,0.6,2,2,4,0.6,0.4
initial_400,open_drawer,1,0,google_robot_open_drawer__seed001__initial,l11_win,1,0,0.75,gaussian,5,0.42857142857142855,0.6,2,2,3,0.4,0.6
initial_400,open_drawer,1,0,google_robot_open_drawer__seed001__initial,l11_win,1,0,0.75,both,5,0.42857142857142855,0.6,2,2,3,0.4,0.6
initial_400,open_drawer,1,0,google_robot_open_drawer__seed001__initial,l11_win,1,0,0.5,raw,5,0.42857142857142855,0.6,2,2,4,0.6,0.4
initial_400,open_drawer,1,0,google_robot_open_drawer__seed001__initial,l11_win,1,0,0.5,corners,5,0.42857142857142855,0.6,2,2,4,0.6,0.4
initial_400,open_drawer,1,0,google_robot_open_drawer__seed001__initial,l11_win,1,0,0.5,gaussian,5,0.42857142857142855,0.6,2,2,3,0.4,0.6
initial_400,open_drawer,1,0,google_robot_open_drawer__seed001__initial,l11_win,1,0,0.5,both,5,0.42857142857142855,0.6,2,2,3,0.4,0.6
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,1.0,raw,19,1.0,1.0,0,0,6,0.21052631578947367,0.6842105263157895
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,1.0,corners,19,1.0,1.0,0,0,6,0.21052631578947367,0.6842105263157895
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,1.0,gaussian,19,0.8095238095238095,0.8947368421052632,2,2,4,0.10526315789473684,0.7368421052631579
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,1.0,both,19,0.7272727272727273,0.8421052631578947,3,3,3,0.05263157894736842,0.7368421052631579
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,0.9,raw,19,0.7272727272727273,0.8421052631578947,3,3,8,0.2631578947368421,0.5263157894736842
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,0.9,corners,19,0.7272727272727273,0.8421052631578947,3,3,8,0.2631578947368421,0.5263157894736842
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,0.9,gaussian,19,0.8095238095238095,0.8947368421052632,2,2,5,0.15789473684210525,0.6842105263157895
initial_400,open_drawer,2,0,google_robot_open_drawer__seed002__initial,both_success,1,1,0.9,both,19,0.7272727272727273,0.8421052631578947,3,3,3,0.05263157894736842,0.6842105263157895
