task,seed,success,steps,mean_m_t,std_m_t,cv_m_t,min_m_t,max_m_t,range_m_t,mean_abs_step_change,early_mean_m_t,middle_mean_m_t,late_mean_m_t
open_drawer,100,0,113,28.938053097345133,14.12352784142284,0.48806074803693605,4,53,49,12.348214285714286,29.710526315789473,35.526315789473685,21.37837837837838
open_drawer,101,0,113,45.39823008849557,8.228527780458965,0.18125217138242944,30,64,34,9.0625,45.44736842105263,45.36842105263158,45.37837837837838
open_drawer,102,1,113,28.672566371681416,12.679467394718769,0.4422159924701299,5,60,55,7.160714285714286,41.81578947368421,23.0,21.0
open_drawer,103,1,113,36.63716814159292,14.28847047240379,0.3899993148264802,4,66,62,11.553571428571429,43.63157894736842,37.63157894736842,28.43243243243243
open_drawer,104,1,113,34.43362831858407,18.478342312634943,0.5366365153759313,4,70,66,16.4375,42.13157894736842,30.973684210526315,30.08108108108108
open_drawer,105,1,113,30.601769911504423,11.278093593223181,0.36854383343962394,13,55,42,7.535714285714286,42.76315789473684,23.973684210526315,24.91891891891892
open_drawer,106,1,113,33.10619469026549,12.401372199167021,0.3745937071654299,4,56,52,7.223214285714286,42.86842105263158,31.5,24.72972972972973
open_drawer,107,1,113,44.203539823008846,11.692338685217344,0.2645113656515635,5,55,50,8.8125,47.21052631578947,41.73684210526316,43.648648648648646
open_drawer,108,1,113,39.902654867256636,15.65782600093556,0.3924006072534305,6,70,64,14.482142857142858,46.21052631578947,41.60526315789474,31.675675675675677
open_drawer,109,0,113,28.654867256637168,11.829743458423504,0.41283539555338356,3,49,46,7.258928571428571,24.342105263157894,29.710526315789473,32.0
open_drawer,110,0,113,42.557522123893804,10.777671159858308,0.25324949907756056,5,63,58,8.866071428571429,42.921052631578945,38.89473684210526,45.945945945945944
open_drawer,111,1,113,32.92035398230089,12.94381431720327,0.393185757484938,13,63,50,8.455357142857142,43.5,23.710526315789473,31.513513513513512
open_drawer,112,1,113,28.964601769911503,11.496770769035496,0.3969248692028754,4,53,49,10.026785714285714,27.94736842105263,35.6578947368421,23.135135135135137
open_drawer,113,0,113,29.265486725663717,13.77892304711509,0.4708250088672528,4,46,42,13.625,36.39473684210526,27.710526315789473,23.54054054054054
open_drawer,114,1,113,25.36283185840708,17.410230919006917,0.6864466482371883,5,56,51,10.714285714285714,38.421052631578945,25.026315789473685,12.297297297297296
open_drawer,115,0,113,46.3716814159292,8.210930218248519,0.1770677699736799,17,67,50,6.133928571428571,47.8421052631579,45.63157894736842,45.62162162162162
