partner_layer,alpha,states,target_control_states,target_response,target_response_l11,target_response_change,mask_jaccard_l11,mean_lost_l11_tokens,mean_new_partner_tokens,lost_l11_fraction,components,component_change_l11,isolated_ratio,largest_component_ratio,score_cosine_l11,rank_correlation_l11,open_target_delta,pick_target_delta,move_target_delta,task_nonharm_fraction,complement_score,strict_candidate,relaxed_candidate
0,0.5,105,9,0.01823580626176442,0.08423165122861907,-0.06599584496685466,0.7294210987306177,5.3619047619047615,5.3619047619047615,0.1609568602959151,6.59047619047619,0.05714285714285714,0.11117395687858014,0.5945876976753672,0.8410507707721026,0.8360650184198193,-0.030674189023555305,-0.13442213522524327,-0.032891210651765417,0.0,0.31218340329256516,0,0
0,0.75,105,9,0.038109341232253624,0.08423165122861907,-0.04612230999636545,0.8634401333760512,2.6952380952380954,2.6952380952380954,0.07537220035648358,6.466666666666667,-0.06666666666666667,0.10738382021555812,0.6199823895158141,0.9557584434830786,0.8814672230760008,-0.02169387401926672,-0.09369449253190276,-0.02297856343792688,0.0,0.3690703323227983,0,0
0,0.9,105,9,0.059973434249717,0.08423165122861907,-0.024258216978902077,0.9430134440148539,1.161904761904762,1.161904761904762,0.03002605040022552,6.314285714285714,-0.21904761904761905,0.10229516206267854,0.6122824388496325,0.9927721250252328,0.9302641036959529,-0.011536077545439644,-0.049151766389640916,-0.012086807001625675,0.0,0.4780236469920668,0,0
1,0.5,105,9,0.0302461420681259,0.08423165122861907,-0.053985509160493175,0.7077382911741453,5.9714285714285715,5.9714285714285715,0.17620113070593516,7.133333333333334,0.6,0.12410446666497775,0.5912954411673292,0.9146811067597569,0.8366756926506009,-0.02341342535986654,-0.11161330145266457,-0.02692980066894841,0.0,0.30177060758921376,0,0
1,0.75,105,9,0.05273226541329084,0.08423165122861907,-0.03149938581532824,0.8588556431940667,2.8666666666666667,2.8666666666666667,0.07857395321195997,6.723809523809524,0.19047619047619047,0.11253262127285689,0.6114163147872876,0.9825438817975185,0.8985605156459469,-0.013027646929262851,-0.06569264466286094,-0.015777865853860935,0.0,0.38880463404627585,0,0
1,0.9,105,9,0.07020579150165984,0.08423165122861907,-0.014025859726959232,0.9421929074846649,1.180952380952381,1.180952380952381,0.030496666663693783,6.514285714285714,-0.01904761904761905,0.1036358138418082,0.6107564338992527,0.9975592178674666,0.951074330510414,-0.00558873796750041,-0.02943575020273705,-0.0070530910106402335,0.0,0.5551672752587089,0,0
2,0.5,105,9,0.07335730468728824,0.08423165122861907,-0.010874346541330836,0.865305166018596,2.638095238095238,2.638095238095238,0.07550040586585746,6.723809523809524,0.19047619047619047,0.11014956306131546,0.6029262371474304,0.992028123932285,0.9729283016708626,-0.0023437900635433586,-0.023418358702654712,-0.006860890857794434,0.0,0.5747490145962589,0,0
2,0.75,105,9,0.080234685766449,0.08423165122861907,-0.003996965462170089,0.9458934969810663,1.1047619047619048,1.1047619047619048,0.028722926288001313,6.571428571428571,0.0380952380952381,0.1037153175523783,0.6081533236073571,0.9990205862745056,0.9899842777577956,-0.0008158165928422549,-0.008599440970441042,-0.002575638823226971,0.3333333333333333,0.8090045799958486,0,0
2,0.9,105,9,0.08285178311274799,0.08423165122861907,-0.001379868115871083,0.981652977007493,0.3619047619047619,0.3619047619047619,0.009487355223825579,6.476190476190476,-0.05714285714285714,0.10440554410479332,0.609562366989907,0.9998876389486586,0.9971766041046768,-0.000276008022073231,-0.0029671701909815044,-0.0008964261345585136,0.6666666666666666,0.9343127216134607,0,0
3,0.5,105,9,0.07417505742998504,0.08423165122861907,-0.010056593798634038,0.8874660371630124,2.104761904761905,2.104761904761905,0.06203210308342116,6.447619047619048,-0.08571428571428572,0.10911489362475246,0.6124877209702904,0.9943221881682633,0.9846524757763025,-0.00429790641322838,-0.02132278225859564,-0.004549092724078095,0.0,0.609335887376627,0,0
