partner_layer,alpha,task,states,episodes,target_control_states,target_response,target_response_change,mask_jaccard_l11,mean_lost_l11_tokens,components,component_change_l11,score_cosine_l11,rank_correlation_l11
0,0.5,close_drawer,15,5,0,,,0.7489925779450838,3.8666666666666667,4.8,0.6,0.8440632788712921,0.8068819619287402
0,0.5,move_near,30,10,3,0.00912464854738398,-0.032891210651765417,0.7352335974926925,6.433333333333334,8.766666666666667,0.13333333333333333,0.8497369552266476,0.8410069762340732
0,0.5,open_drawer,30,10,3,0.008059408937488884,-0.030674189023555305,0.7061048945201427,6.166666666666667,5.733333333333333,0.0,0.8518930540685378,0.7979603456168457
0,0.5,pick_coke_can,30,10,3,0.03752336130042039,-0.13442213522524327,0.7371390645717845,4.233333333333333,6.166666666666667,-0.23333333333333334,0.8200160489715284,0.883819261654078
0,0.75,close_drawer,15,5,0,,,0.8789382377461227,2.0,4.333333333333333,0.13333333333333333,0.9583267466806118,0.86232051575494
0,0.75,move_near,30,10,3,0.019037295761222515,-0.02297856343792688,0.8666531486870798,3.1666666666666665,8.766666666666667,0.13333333333333333,0.95514950103011,0.8904476853971158
0,0.75,open_drawer,30,10,3,0.01703972394177747,-0.02169387401926672,0.848469077753896,3.0,5.233333333333333,-0.5,0.9594498672555257,0.8529021229114214
0,0.75,pick_coke_can,30,10,3,0.07825100399376089,-0.09369449253190276,0.8674491215021423,2.2666666666666666,6.466666666666667,0.06666666666666667,0.9513918105648335,0.9106252145799953
0,0.9,close_drawer,15,5,0,,,0.9542500415552232,0.7333333333333333,4.266666666666667,0.06666666666666667,0.9933472351535133,0.921652218280308
0,0.9,move_near,30,10,3,0.02992905219752372,-0.012086807001625675,0.9360852348435496,1.5333333333333334,8.5,-0.13333333333333333,0.9923407800417119,0.9399827859159227
0,0.9,open_drawer,30,10,3,0.027197520415604543,-0.011536077545439644,0.9317186270381368,1.3666666666666667,5.3,-0.43333333333333335,0.9933659333907856,0.9136172703517201
0,0.9,pick_coke_can,30,10,3,0.12279373013602274,-0.049151766389640916,0.9556181713926903,0.8,6.166666666666667,-0.23333333333333334,0.9923221065790606,0.9414981975280382
1,0.5,close_drawer,15,5,0,,,0.706481555270665,4.533333333333333,4.533333333333333,0.3333333333333333,0.9239332331608833,0.7681381132219424
1,0.5,move_near,30,10,3,0.015086058530200985,-0.02692980066894841,0.7051682751841937,7.233333333333333,9.233333333333333,0.6,0.9145569180346531,0.8420211766613258
1,0.5,open_drawer,30,10,3,0.01532017260117765,-0.02341342535986654,0.6707461100944621,6.966666666666667,6.433333333333334,0.7,0.9225452059975865,0.8077671044098572
1,0.5,pick_coke_can,30,10,3,0.06033219507299906,-0.11161330145266457,0.7479288561955201,4.433333333333334,7.033333333333333,0.6333333333333333,0.9023151330464678,0.8945075865949491
1,0.75,close_drawer,15,5,0,,,0.8431897021857032,2.1333333333333333,4.2,0.0,0.9855869874957849,0.8611067559319445
1,0.75,move_near,30,10,3,0.026237993345288462,-0.015777865853860935,0.8594777323878147,3.3,8.7,0.06666666666666667,0.980966094943099,0.9012331435492484
1,0.75,open_drawer,30,10,3,0.025705951031781343,-0.013027646929262851,0.8318151166119208,3.4,6.1,0.36666666666666664,0.984953984008585,0.8845766575112533
1,0.75,pick_coke_can,30,10,3,0.10625285186280271,-0.06569264466286094,0.8931070510866467,2.2666666666666666,6.633333333333334,0.23333333333333334,0.9801900135917376,0.9285986257343402
1,0.9,close_drawer,15,5,0,,,0.9352845119160693,0.9333333333333333,3.8666666666666667,-0.3333333333333333,0.9980601039920854,0.9394760910200655
1,0.9,move_near,30,10,3,0.034962768188509165,-0.0070530910106402335,0.9330032465203125,1.5333333333333334,8.566666666666666,-0.06666666666666667,0.9972278294595657,0.9509945305943389
1,0.9,open_drawer,30,10,3,0.03314485999354378,-0.00558873796750041,0.9319595429047064,1.4,5.8,0.06666666666666667,0.9979353640000391,0.9477450980392156
1,0.9,pick_coke_can,30,10,3,0.1425097463229266,-0.02943575020273705,0.9650701308132734,0.7333333333333333,6.5,0.1,0.9972640170804854,0.9602824826428625
2,0.5,close_drawer,15,5,0,,,0.8821333576205866,1.9333333333333333,4.2,0.0,0.9926134524042405,0.9799907492179749
