split,task,layer,scale,episodes,top_alignment,top_minus_random,semantic_separation,mask_jaccard_separation
exploration,move_near,9,0.75,7,0.2910351634709429,0.13444975102437456,0.08345435171772167,0.0653038344657909
exploration,move_near,9,1.0,7,0.37775976571537223,0.2197858748460008,0.04347549214398182,0.06303028890297693
exploration,move_near,9,1.25,7,0.4199914079979527,0.25181906806211374,0.037164453352843456,0.057908163425351815
exploration,move_near,11,0.75,7,0.39342931327500635,0.23684390082843815,0.1625150632906471,0.13111877886726037
exploration,move_near,11,1.0,7,0.35669917904722953,0.198725288177858,0.09838828594188524,0.1041604277346052
exploration,move_near,11,1.25,7,0.36281786470583466,0.19464552476999572,0.16778244405756151,0.11754639962260494
exploration,move_near,14,0.75,7,0.35915366945485433,0.20256825700828604,0.18953510140674026,0.1810549289067978
exploration,move_near,14,1.0,7,0.3633250042926228,0.20535111342325127,0.18217223035409208,0.1468148888548326
exploration,move_near,14,1.25,7,0.3784832570767995,0.21031091714096053,0.11873989770804678,0.11210717509807863
exploration,open_drawer,9,0.75,7,0.27961209046564994,0.2127180212812782,0.04723257849759349,0.06492002785256751
exploration,open_drawer,9,1.0,7,0.34181182988204617,0.26110833017347235,0.03966057619353586,0.046776422947933424
exploration,open_drawer,9,1.25,7,0.33179001437924815,0.24979367778278933,0.05221560225738579,0.04536041334414551
exploration,open_drawer,11,0.75,7,0.32930642220808426,0.2624123530237126,0.09462062815178195,0.12910543061313115
exploration,open_drawer,11,1.0,7,0.322486697364324,0.2417831976557502,0.0426944850823283,0.11543378227081728
exploration,open_drawer,11,1.25,7,0.3592971153559856,0.27730077875952686,0.0970497941045134,0.0809243597081009
exploration,open_drawer,14,0.75,7,0.3158907196419293,0.24899665045755762,0.04562386112808507,0.08813278573476742
exploration,open_drawer,14,1.0,7,0.33942153760946997,0.25871803790089615,0.03075314260395581,0.05953297428261669
exploration,open_drawer,14,1.25,7,0.3345730906661541,0.2525767540696954,0.02635274763799253,0.05707455002669353
exploration,pick_coke_can,9,0.75,6,0.31714029867249494,0.23010796141042777,0.1354229932191769,0.16845375828797407
exploration,pick_coke_can,9,1.0,6,0.3301331592329794,0.24777016356938508,0.18664380064115102,0.1700034003598683
exploration,pick_coke_can,9,1.25,6,0.30695009681045204,0.2457405410070981,0.14813694409252412,0.13419645377598516
exploration,pick_coke_can,11,0.75,6,0.36306599794758293,0.2760336606855157,0.2876969628094664,0.31309284484120053
exploration,pick_coke_can,11,1.0,6,0.3441613327138811,0.26179833705028677,0.22954779150881366,0.2591870402449524
exploration,pick_coke_can,11,1.25,6,0.3177773880413776,0.2565678322380237,0.15543558146673916,0.1910687310802461
exploration,pick_coke_can,14,0.75,6,0.3427268687979628,0.25569453153589566,0.3248713996285009,0.3013449638004552
exploration,pick_coke_can,14,1.0,6,0.3334622521941319,0.25109925653053744,0.2673698745234537,0.26360263953341384
exploration,pick_coke_can,14,1.25,6,0.3260623141255064,0.2648527583221524,0.19562521802004582,0.17700680017036827
validation,move_near,9,0.75,3,0.1877908208727499,0.10937147756614903,0.06678210591588964,0.07403694611378596
validation,move_near,9,1.0,3,0.19219052687629948,0.0627638138383486,0.0140169004383637,0.07668044502055386
validation,move_near,9,1.25,3,0.2057505647814135,0.06767110238294506,0.013053994768316377,0.07735983874438773
validation,move_near,11,0.75,3,0.2287493070154314,0.15032996370883056,0.028974075772520588,0.06266455383564012
validation,move_near,11,1.0,3,0.24807777329961453,0.11865106026166361,0.029600347965464142,0.09349568436856537
validation,move_near,11,1.25,3,0.24836778477748536,0.11028832237901694,0.08414419109520961,0.10274766381135973
validation,move_near,14,0.75,3,0.16185868195893438,0.08343933865233356,0.10085920643741247,0.1376791327668521
validation,move_near,14,1.0,3,0.18172629928626693,0.05229958624831605,0.07658178086424113,0.11492606998873385
validation,move_near,14,1.25,3,0.21420818747628692,0.07612872507781852,0.06772704280746303,0.12227268434241263
validation,open_drawer,9,0.75,3,0.28525191225192803,0.12767066896246237,0.0021655554043639048,0.06465656118906894
validation,open_drawer,9,1.0,3,0.25903470818727387,0.13786273454566386,0.024315766367098594,0.04137866349248463
validation,open_drawer,9,1.25,3,0.2521336847617355,0.08513583466252489,0.021839712375060275,0.01864811679850394
validation,open_drawer,11,0.75,3,0.27695340911261984,0.1193721658231542,0.12207732260801968,0.17097273413365363
validation,open_drawer,11,1.0,3,0.2509980774106022,0.1298261037689922,0.05378937340866311,0.14175101583364663
validation,open_drawer,11,1.25,3,0.3081972103196399,0.14119936022042937,0.060840147016437855,0.1037817163854275
validation,open_drawer,14,0.75,3,0.28773078976409966,0.13014954647463403,0.05198172854759133,0.07478607023907902
validation,open_drawer,14,1.0,3,0.2858453711474714,0.16467339750586135,0.10128393952607913,0.08300114215818111
validation,open_drawer,14,1.25,3,0.2994376669822484,0.13243981688303785,0.032539222339677064,0.06516856161624957
validation,pick_coke_can,9,0.75,4,0.35707473298023645,0.2959179248903035,0.20342225099040173,0.0935489370714276
validation,pick_coke_can,9,1.0,4,0.35581440415016335,0.2808365110745984,0.15689549651691642,0.08646707224055276
validation,pick_coke_can,9,1.25,4,0.34213752858487106,0.22904074370221209,0.18293747774880986,0.10220429969267542
validation,pick_coke_can,11,0.75,4,0.3810824621109436,0.3199256540210106,0.21812123368112743,0.20624246124246126
validation,pick_coke_can,11,1.0,4,0.36601686426249186,0.2910389711869269,0.22268989557490854,0.17148747293656455
validation,pick_coke_can,11,1.25,4,0.40074308822953464,0.28764630334687563,0.11212856706062367,0.13571302973076585
validation,pick_coke_can,14,0.75,4,0.3618688632207953,0.3007120551308623,0.1634785921132263,0.07620332375169837
validation,pick_coke_can,14,1.0,4,0.35876410438391537,0.2837862113083504,0.11169962611065062,0.11335480752012811
validation,pick_coke_can,14,1.25,4,0.37675549242791545,0.2636587075452564,0.062265955015617366,0.14185052678376864
