split,metric,layer,rank,value
exploration,top_alignment,10,1,0.3564642366075839
exploration,top_alignment,13,2,0.3516859024971319
exploration,top_alignment,9,3,0.35089000622899025
exploration,top_alignment,14,4,0.345999965323972
exploration,top_alignment,11,5,0.34096345655820814
exploration,top_alignment,12,6,0.3398085714874236
exploration,top_alignment,7,7,0.33769831408051304
exploration,top_alignment,8,8,0.33757896505879315
exploration,top_alignment,6,9,0.32787152474453907
exploration,top_alignment,1,10,0.31921003429526884
exploration,top_alignment,15,11,0.31788393369119794
exploration,top_alignment,0,12,0.311624212686936
exploration,top_alignment,17,13,0.30670952316054767
exploration,top_alignment,5,14,0.30202090172861995
exploration,top_alignment,4,15,0.3012192858821655
exploration,top_alignment,16,16,0.300456883601041
exploration,top_alignment,19,17,0.2851252483764526
exploration,top_alignment,3,18,0.28166635198773143
exploration,top_alignment,18,19,0.2809584234376389
exploration,top_alignment,21,20,0.2807156698812098
exploration,top_alignment,2,21,0.27335169083068
exploration,top_alignment,22,22,0.27143140545009387
exploration,top_alignment,23,23,0.2705079267955582
exploration,top_alignment,24,24,0.2703234159886522
exploration,top_alignment,27,25,0.26983010261031604
exploration,top_alignment,29,26,0.26634280340104755
exploration,top_alignment,28,27,0.2653328451847427
exploration,top_alignment,20,28,0.257816606672782
exploration,top_alignment,26,29,0.2552027770723722
exploration,top_alignment,25,30,0.249003280067567
exploration,top_alignment,30,31,0.24191423655093836
exploration,top_alignment,31,32,0.22667449706310952
exploration,top_minus_random,10,1,0.29333696326876024
exploration,top_minus_random,13,2,0.2885586291583083
exploration,top_minus_random,9,3,0.28776273289016674
exploration,top_minus_random,14,4,0.2828726919851484
exploration,top_minus_random,11,5,0.2778361832193845
exploration,top_minus_random,12,6,0.2766812981486
exploration,top_minus_random,7,7,0.2745710407416894
exploration,top_minus_random,8,8,0.2744516917199696
exploration,top_minus_random,6,9,0.2647442514057154
exploration,top_minus_random,1,10,0.2560827609564452
exploration,top_minus_random,15,11,0.2547566603523744
exploration,top_minus_random,0,12,0.24849693934811246
exploration,top_minus_random,17,13,0.2435822498217241
exploration,top_minus_random,5,14,0.2388936283897964
exploration,top_minus_random,4,15,0.23809201254334203
exploration,top_minus_random,16,16,0.23732961026221747
exploration,top_minus_random,19,17,0.22199797503762903
exploration,top_minus_random,3,18,0.21853907864890787
exploration,top_minus_random,18,19,0.21783115009881535
exploration,top_minus_random,21,20,0.21758839654238615
exploration,top_minus_random,2,21,0.21022441749185633
exploration,top_minus_random,22,22,0.20830413211127036
exploration,top_minus_random,23,23,0.20738065345673462
exploration,top_minus_random,24,24,0.2071961426498286
exploration,top_minus_random,27,25,0.2067028292714924
exploration,top_minus_random,29,26,0.20321553006222398
exploration,top_minus_random,28,27,0.2022055718459192
exploration,top_minus_random,20,28,0.1946893333339585
exploration,top_minus_random,26,29,0.1920755037335486
exploration,top_minus_random,25,30,0.18587600672874346
exploration,top_minus_random,30,31,0.17878696321211468
exploration,top_minus_random,31,32,0.1635472237242859
exploration,top_minus_bottom,13,1,0.32963239279765516
exploration,top_minus_bottom,9,2,0.3103010187925415
exploration,top_minus_bottom,11,3,0.3093314469251133
exploration,top_minus_bottom,10,4,0.30559520999574946
exploration,top_minus_bottom,14,5,0.297708558728191
exploration,top_minus_bottom,12,6,0.2965694497655257
exploration,top_minus_bottom,1,7,0.2903372190659711
exploration,top_minus_bottom,17,8,0.29009614482150403
exploration,top_minus_bottom,8,9,0.2882630686184774
exploration,top_minus_bottom,0,10,0.2853070958594392
exploration,top_minus_bottom,6,11,0.2741523807441483
exploration,top_minus_bottom,16,12,0.27063687811835047
exploration,top_minus_bottom,7,13,0.26790096366857297
exploration,top_minus_bottom,15,14,0.265136251466041
exploration,top_minus_bottom,29,15,0.25741128700179605
exploration,top_minus_bottom,18,16,0.2500730255329936
exploration,top_minus_bottom,27,17,0.2362479022858782
exploration,top_minus_bottom,2,18,0.235027491778908
exploration,top_minus_bottom,28,19,0.2338700505829895
exploration,top_minus_bottom,21,20,0.23153019751422707
exploration,top_minus_bottom,4,21,0.2300277113015771
exploration,top_minus_bottom,24,22,0.22627453120965457
exploration,top_minus_bottom,3,23,0.2213098561304716
exploration,top_minus_bottom,19,24,0.21579597514790255
exploration,top_minus_bottom,23,25,0.2127421702507058
exploration,top_minus_bottom,22,26,0.20825929944370786
exploration,top_minus_bottom,30,27,0.20736779520977708
exploration,top_minus_bottom,5,28,0.20728229163041276
exploration,top_minus_bottom,20,29,0.2052718659160367
exploration,top_minus_bottom,31,30,0.19719152222137573
exploration,top_minus_bottom,25,31,0.19272452726044315
exploration,top_minus_bottom,26,32,0.19072729874401556
exploration,top_minus_wrong_prompt,14,1,0.061754808300558184
exploration,top_minus_wrong_prompt,13,2,0.034452667698969854
exploration,top_minus_wrong_prompt,4,3,0.02777426094938772
exploration,top_minus_wrong_prompt,7,4,0.025189559084487063
exploration,top_minus_wrong_prompt,9,5,0.019608747306115948
exploration,top_minus_wrong_prompt,10,6,0.01460776071552978
exploration,top_minus_wrong_prompt,5,7,0.012888792582112656
exploration,top_minus_wrong_prompt,17,8,0.011028763258412353
exploration,top_minus_wrong_prompt,27,9,0.01036977460951055
exploration,top_minus_wrong_prompt,28,10,0.009317834250501922
exploration,top_minus_wrong_prompt,21,11,0.008034777895368859
exploration,top_minus_wrong_prompt,23,12,0.007602815733536454
exploration,top_minus_wrong_prompt,2,13,0.004004433037754341
exploration,top_minus_wrong_prompt,30,14,0.0035395019519896638
exploration,top_minus_wrong_prompt,1,15,0.0034716397442656824
exploration,top_minus_wrong_prompt,0,16,0.002962221733293069
exploration,top_minus_wrong_prompt,6,17,0.0024527155942033426
exploration,top_minus_wrong_prompt,3,18,0.0014714157782617047
exploration,top_minus_wrong_prompt,22,19,0.0012395993177098052
exploration,top_minus_wrong_prompt,29,20,0.0009287230170544239
exploration,top_minus_wrong_prompt,11,21,0.0006164386483354219
exploration,top_minus_wrong_prompt,25,22,-0.0010335544315105733
exploration,top_minus_wrong_prompt,15,23,-0.002103270414531246
exploration,top_minus_wrong_prompt,24,24,-0.003177588915214613
exploration,top_minus_wrong_prompt,18,25,-0.003210301923982822
exploration,top_minus_wrong_prompt,20,26,-0.0032245938133700787
exploration,top_minus_wrong_prompt,12,27,-0.005162441333121598
exploration,top_minus_wrong_prompt,26,28,-0.009869087325191768
exploration,top_minus_wrong_prompt,8,29,-0.01047590449733726
exploration,top_minus_wrong_prompt,31,30,-0.013029014981461839
exploration,top_minus_wrong_prompt,19,31,-0.01582030411423442
exploration,top_minus_wrong_prompt,16,32,-0.01833961874333811
exploration,causal_margin,14,1,0.025199667904915634
exploration,causal_margin,13,2,0.012549467806714046
exploration,causal_margin,9,3,0.0024269565294366907
exploration,causal_margin,7,4,-0.002799619899119131
exploration,causal_margin,17,5,-0.008722824684038495
exploration,causal_margin,10,6,-0.009734078576519482
exploration,causal_margin,4,7,-0.012716310787411145
exploration,causal_margin,11,8,-0.01860493680308565
exploration,causal_margin,12,9,-0.019691203332294183
exploration,causal_margin,21,10,-0.021415952694536073
exploration,causal_margin,6,11,-0.022767848509665362
exploration,causal_margin,22,12,-0.024344279158482602
exploration,causal_margin,18,13,-0.024433413900398115
exploration,causal_margin,2,14,-0.028564102176434476
exploration,causal_margin,30,15,-0.02886820402488477
exploration,causal_margin,15,16,-0.028934257668074885
exploration,causal_margin,8,17,-0.029233564068334626
exploration,causal_margin,29,18,-0.029509747686268545
exploration,causal_margin,0,19,-0.029744388646567217
exploration,causal_margin,5,20,-0.03089620904996603
exploration,causal_margin,27,21,-0.03152375841675818
exploration,causal_margin,23,22,-0.03199769053356153
exploration,causal_margin,3,23,-0.03377488477490566
exploration,causal_margin,28,24,-0.03499885501899754
exploration,causal_margin,19,25,-0.03880489125048122
exploration,causal_margin,16,26,-0.03886631050963617
exploration,causal_margin,20,27,-0.04322210803644838
exploration,causal_margin,1,28,-0.04361433369111844
exploration,causal_margin,24,29,-0.04378220952976477
exploration,causal_margin,25,30,-0.055420011919401435
exploration,causal_margin,31,31,-0.06304731699894385
exploration,causal_margin,26,32,-0.06329288374881153
validation,top_alignment,1,1,0.32204213102248563
validation,top_alignment,8,2,0.30431093989312885
validation,top_alignment,11,3,0.2961295009180618
validation,top_alignment,6,4,0.29105088762849163
validation,top_alignment,14,5,0.28377714288368766
validation,top_alignment,16,6,0.2819414967638647
validation,top_alignment,9,7,0.2776933321791374
validation,top_alignment,15,8,0.27617421963248445
validation,top_alignment,7,9,0.2733754692476404
validation,top_alignment,4,10,0.2727537268360728
validation,top_alignment,10,11,0.26927816474814603
validation,top_alignment,12,12,0.26901617233881986
validation,top_alignment,13,13,0.2586933564921404
validation,top_alignment,3,14,0.2569788848192011
validation,top_alignment,17,15,0.24883386738125127
validation,top_alignment,19,16,0.24792694756467384
validation,top_alignment,2,17,0.2465517036418813
validation,top_alignment,5,18,0.24652685086594364
validation,top_alignment,18,19,0.2431112168381313
validation,top_alignment,25,20,0.24227906174485686
validation,top_alignment,30,21,0.23732251373534047
validation,top_alignment,31,22,0.2368695081767643
validation,top_alignment,0,23,0.2317906113556618
validation,top_alignment,23,24,0.22718506140365613
validation,top_alignment,26,25,0.22704544229657747
validation,top_alignment,29,26,0.22683426265693582
validation,top_alignment,20,27,0.223643347549403
validation,top_alignment,27,28,0.2216457335286682
validation,top_alignment,21,29,0.21975949224355298
validation,top_alignment,22,30,0.2162878447336345
validation,top_alignment,28,31,0.21234854593560773
validation,top_alignment,24,32,0.19858578560308995
validation,top_minus_random,1,1,0.21419906685877926
validation,top_minus_random,8,2,0.19646787572942248
validation,top_minus_random,11,3,0.18828643675435544
validation,top_minus_random,6,4,0.18320782346478523
validation,top_minus_random,14,5,0.1759340787199813
validation,top_minus_random,16,6,0.17409843260015836
validation,top_minus_random,9,7,0.16985026801543096
validation,top_minus_random,15,8,0.16833115546877803
validation,top_minus_random,7,9,0.165532405083934
validation,top_minus_random,4,10,0.16491066267236637
validation,top_minus_random,10,11,0.1614351005844397
validation,top_minus_random,12,12,0.1611731081751135
validation,top_minus_random,13,13,0.15085029232843405
validation,top_minus_random,3,14,0.1491358206554948
validation,top_minus_random,17,15,0.14099080321754487
validation,top_minus_random,19,16,0.14008388340096747
validation,top_minus_random,2,17,0.1387086394781749
validation,top_minus_random,5,18,0.13868378670223727
validation,top_minus_random,18,19,0.135268152674425
validation,top_minus_random,25,20,0.13443599758115046
validation,top_minus_random,30,21,0.12947944957163413
validation,top_minus_random,31,22,0.129026444013058
validation,top_minus_random,0,23,0.12394754719195547
validation,top_minus_random,23,24,0.11934199723994983
validation,top_minus_random,26,25,0.11920237813287113
validation,top_minus_random,29,26,0.11899119849322945
validation,top_minus_random,20,27,0.11580028338569663
validation,top_minus_random,27,28,0.11380266936496186
validation,top_minus_random,21,29,0.11191642807984661
validation,top_minus_random,22,30,0.10844478056992812
validation,top_minus_random,28,31,0.10450548177190136
validation,top_minus_random,24,32,0.09074272143938358
validation,top_minus_bottom,6,1,0.2727017102865138
validation,top_minus_bottom,1,2,0.269752332456159
validation,top_minus_bottom,5,3,0.2677597470171788
validation,top_minus_bottom,8,4,0.25701152212824474
validation,top_minus_bottom,11,5,0.252761942502935
validation,top_minus_bottom,9,6,0.2524711176173241
validation,top_minus_bottom,4,7,0.25184966313993706
validation,top_minus_bottom,19,8,0.25151828107496477
validation,top_minus_bottom,30,9,0.2466620094820277
validation,top_minus_bottom,7,10,0.24621175042055113
validation,top_minus_bottom,15,11,0.23893829999380972
validation,top_minus_bottom,14,12,0.238224537239139
validation,top_minus_bottom,2,13,0.2381320092786181
validation,top_minus_bottom,31,14,0.23487922205718523
validation,top_minus_bottom,3,15,0.23345898330592812
validation,top_minus_bottom,18,16,0.2333503658491518
