layer,mean_rank,worst_rank,exploration_mean_rank,validation_mean_rank
9,4.6,7,3.2,6.0
14,5.2,12,3.0,7.4
11,5.8,21,8.4,3.2
7,6.6,13,7.0,6.2
6,7.2,17,11.4,3.0
8,8.7,29,14.2,3.2
10,8.8,17,3.6,14.0
1,9.1,28,14.0,4.2
13,9.8,23,1.8,17.8
4,10.8,21,12.2,9.4
17,12.2,18,9.4,15.0
15,13.1,23,15.0,11.2
16,15.0,32,20.4,9.6
12,15.5,31,10.8,20.2
2,16.2,21,17.4,15.0
5,17.4,30,16.6,18.2
19,17.9,31,22.8,13.0
0,18.6,27,13.8,23.4
3,18.8,28,20.0,17.6
18,19.9,27,18.4,21.4
30,20.9,31,23.6,18.2
23,22.0,26,21.0,23.0
21,22.2,30,16.2,28.2
29,22.6,26,21.0,24.2
27,22.7,31,19.4,26.0
31,23.1,32,31.0,15.2
25,23.2,31,28.6,17.8
22,23.8,30,20.2,27.4
20,24.5,29,27.6,21.4
28,26.5,32,21.4,31.6
24,27.1,32,24.6,29.6
26,28.2,32,30.0,26.4
