task,seed,vanilla,shr,l11_matched
google_robot_open_drawer,0,False,True,False
google_robot_open_drawer,1,False,False,True
google_robot_open_drawer,2,False,False,True
google_robot_open_drawer,3,False,False,False
google_robot_open_drawer,4,False,True,False
google_robot_open_drawer,5,False,False,False
google_robot_open_drawer,6,True,True,True
google_robot_open_drawer,7,True,False,True
google_robot_open_drawer,8,False,True,False
google_robot_open_drawer,9,False,False,False
google_robot_open_drawer,10,False,True,True
google_robot_open_drawer,11,True,True,True
google_robot_open_drawer,12,False,False,False
google_robot_open_drawer,13,True,False,False
google_robot_open_drawer,14,True,False,True
google_robot_open_drawer,15,False,True,False
google_robot_open_drawer,16,False,False,False
google_robot_open_drawer,17,False,True,True
google_robot_open_drawer,18,True,True,True
google_robot_open_drawer,19,False,False,False
google_robot_open_drawer,20,True,True,True
google_robot_open_drawer,21,False,False,False
google_robot_open_drawer,22,True,False,True
google_robot_open_drawer,23,False,False,False
google_robot_open_drawer,24,True,True,True
google_robot_open_drawer,25,True,False,True
google_robot_open_drawer,26,False,True,False
google_robot_open_drawer,27,False,False,False
google_robot_open_drawer,28,False,False,False
google_robot_open_drawer,29,False,True,True
google_robot_open_drawer,30,False,False,False
google_robot_open_drawer,31,False,False,True
google_robot_open_drawer,32,False,True,True
google_robot_open_drawer,33,True,True,True
google_robot_open_drawer,34,False,False,False
google_robot_open_drawer,35,False,True,True
google_robot_open_drawer,36,False,False,True
google_robot_open_drawer,37,False,False,False
google_robot_open_drawer,38,False,False,False
google_robot_open_drawer,39,False,False,True
google_robot_open_drawer,40,False,False,True
google_robot_open_drawer,41,False,True,False
google_robot_open_drawer,42,True,False,False
google_robot_open_drawer,43,True,True,True
google_robot_open_drawer,44,False,True,False
google_robot_open_drawer,45,True,True,True
google_robot_open_drawer,46,False,True,False
google_robot_open_drawer,47,False,False,False
google_robot_open_drawer,48,False,True,False
google_robot_open_drawer,49,False,False,False
google_robot_open_drawer,50,True,True,True
google_robot_open_drawer,51,False,False,False
google_robot_open_drawer,52,True,True,True
google_robot_open_drawer,53,False,False,False
google_robot_open_drawer,54,False,False,False
google_robot_open_drawer,55,True,True,False
google_robot_open_drawer,56,False,True,True
google_robot_open_drawer,57,False,False,False
google_robot_open_drawer,58,False,True,False
google_robot_open_drawer,59,False,True,False
google_robot_open_drawer,60,False,True,True
google_robot_open_drawer,61,False,False,False
google_robot_open_drawer,62,False,False,False
google_robot_open_drawer,63,False,True,True
google_robot_open_drawer,64,False,True,True
google_robot_open_drawer,65,False,False,False
google_robot_open_drawer,66,False,True,True
google_robot_open_drawer,67,False,False,False
google_robot_open_drawer,68,False,False,True
google_robot_open_drawer,69,False,True,False
google_robot_open_drawer,70,False,False,False
google_robot_open_drawer,71,True,True,False
google_robot_open_drawer,72,False,False,True
google_robot_open_drawer,73,False,False,False
google_robot_open_drawer,74,False,False,True
google_robot_open_drawer,75,True,True,True
google_robot_open_drawer,76,False,True,True
google_robot_open_drawer,77,True,True,True
google_robot_open_drawer,78,False,False,False
google_robot_open_drawer,79,False,True,True
google_robot_open_drawer,80,True,False,True
google_robot_open_drawer,81,True,True,True
google_robot_open_drawer,82,False,False,True
google_robot_open_drawer,83,False,False,True
google_robot_open_drawer,84,False,False,False
google_robot_open_drawer,85,False,True,True
google_robot_open_drawer,86,False,True,True
google_robot_open_drawer,87,False,False,False
google_robot_open_drawer,88,True,True,True
google_robot_open_drawer,89,False,False,True
google_robot_open_drawer,90,False,False,False
google_robot_open_drawer,91,False,False,False
google_robot_open_drawer,92,False,False,False
google_robot_open_drawer,93,False,True,True
google_robot_open_drawer,94,True,False,False
google_robot_open_drawer,95,False,False,False
google_robot_open_drawer,96,True,True,True
google_robot_open_drawer,97,False,False,True
google_robot_open_drawer,98,True,True,True
google_robot_open_drawer,99,True,True,True
google_robot_open_drawer,100,False,False,False
google_robot_open_drawer,101,False,False,False
google_robot_open_drawer,102,False,False,True
google_robot_open_drawer,103,False,False,True
google_robot_open_drawer,104,False,True,True
google_robot_open_drawer,105,False,False,True
google_robot_open_drawer,106,False,True,True
google_robot_open_drawer,107,False,True,True
google_robot_open_drawer,108,False,True,True
google_robot_open_drawer,109,False,False,False
google_robot_open_drawer,110,False,True,False
google_robot_open_drawer,111,False,True,True
google_robot_open_drawer,112,False,False,True
google_robot_open_drawer,113,False,True,False
google_robot_open_drawer,114,False,False,True
google_robot_open_drawer,115,False,False,False
google_robot_open_drawer,116,False,False,False
google_robot_open_drawer,117,False,True,True
google_robot_open_drawer,118,False,False,False
google_robot_open_drawer,119,False,False,False
google_robot_open_drawer,120,False,True,False
google_robot_open_drawer,121,False,False,False
google_robot_open_drawer,122,True,False,True
google_robot_open_drawer,123,False,False,False
google_robot_open_drawer,124,False,False,False
google_robot_open_drawer,125,False,False,False
google_robot_open_drawer,126,False,False,False
google_robot_open_drawer,127,False,False,False
google_robot_open_drawer,128,False,False,True
google_robot_open_drawer,129,False,False,True
google_robot_open_drawer,130,False,False,True
google_robot_open_drawer,131,False,True,False
google_robot_open_drawer,132,False,True,True
google_robot_open_drawer,133,False,False,False
google_robot_open_drawer,134,False,False,False
google_robot_open_drawer,135,False,True,False
google_robot_open_drawer,136,False,False,False
google_robot_open_drawer,137,False,False,False
google_robot_open_drawer,138,False,False,False
google_robot_open_drawer,139,False,True,True
google_robot_open_drawer,140,True,False,True
google_robot_open_drawer,141,False,False,False
google_robot_open_drawer,142,False,False,False
google_robot_open_drawer,143,False,False,False
google_robot_open_drawer,144,False,False,True
google_robot_open_drawer,145,False,False,True
google_robot_open_drawer,146,False,False,False
google_robot_open_drawer,147,False,False,False
google_robot_open_drawer,148,False,False,False
google_robot_open_drawer,149,False,False,False
google_robot_open_drawer,150,True,False,False
google_robot_open_drawer,151,False,True,False
google_robot_open_drawer,152,True,True,False
google_robot_open_drawer,153,False,True,True
google_robot_open_drawer,154,False,False,False
google_robot_open_drawer,155,False,True,False
google_robot_open_drawer,156,False,False,False
google_robot_open_drawer,157,False,False,True
google_robot_open_drawer,158,False,True,False
google_robot_open_drawer,159,False,True,False
google_robot_open_drawer,160,False,False,False
google_robot_open_drawer,161,False,False,True
google_robot_open_drawer,162,False,False,False
google_robot_open_drawer,163,False,True,False
google_robot_open_drawer,164,False,False,False
google_robot_open_drawer,165,False,False,False
google_robot_open_drawer,166,False,False,False
google_robot_open_drawer,167,False,False,False
google_robot_open_drawer,168,False,True,True
google_robot_open_drawer,169,False,False,True
google_robot_open_drawer,170,False,True,False
google_robot_open_drawer,171,False,True,True
google_robot_open_drawer,172,False,False,False
google_robot_open_drawer,173,True,True,True
google_robot_open_drawer,174,False,False,True
google_robot_open_drawer,175,True,False,True
google_robot_open_drawer,176,False,True,False
google_robot_open_drawer,177,False,True,True
google_robot_open_drawer,178,False,False,True
google_robot_open_drawer,179,True,True,True
google_robot_open_drawer,180,False,True,True
google_robot_open_drawer,181,False,True,True
google_robot_open_drawer,182,False,True,False
google_robot_open_drawer,183,False,True,True
google_robot_open_drawer,184,True,False,False
google_robot_open_drawer,185,True,False,True
google_robot_open_drawer,186,False,True,True
google_robot_open_drawer,187,False,False,False
google_robot_open_drawer,188,True,False,True
google_robot_open_drawer,189,False,False,False
google_robot_open_drawer,190,False,False,False
google_robot_open_drawer,191,False,True,True
google_robot_open_drawer,192,False,True,True
google_robot_open_drawer,193,False,False,False
google_robot_open_drawer,194,False,True,False
google_robot_open_drawer,195,True,True,True
google_robot_open_drawer,196,False,True,False
google_robot_open_drawer,197,False,True,True
google_robot_open_drawer,198,False,True,True
google_robot_open_drawer,199,True,True,True
google_robot_open_drawer,200,False,True,True
google_robot_open_drawer,201,True,True,False
google_robot_open_drawer,202,False,False,False
google_robot_open_drawer,203,False,True,False
google_robot_open_drawer,204,False,False,False
google_robot_open_drawer,205,True,True,False
google_robot_open_drawer,206,False,False,False
google_robot_open_drawer,207,False,False,False
google_robot_open_drawer,208,True,True,True
google_robot_open_drawer,209,True,False,False
google_robot_open_drawer,210,False,False,True
google_robot_open_drawer,211,False,False,False
google_robot_open_drawer,212,False,False,False
google_robot_open_drawer,213,True,True,False
google_robot_open_drawer,214,False,True,False
google_robot_open_drawer,215,True,True,False
google_robot_open_drawer,216,False,False,False
google_robot_open_drawer,217,False,False,False
google_robot_open_drawer,218,False,True,True
google_robot_open_drawer,219,False,True,True
google_robot_open_drawer,220,False,True,True
google_robot_open_drawer,221,True,True,True
google_robot_open_drawer,222,False,False,False
google_robot_open_drawer,223,False,False,True
google_robot_open_drawer,224,False,True,False
google_robot_open_drawer,225,False,False,False
google_robot_open_drawer,226,False,False,False
google_robot_open_drawer,227,False,True,True
google_robot_open_drawer,228,True,False,True
google_robot_open_drawer,229,False,True,True
google_robot_open_drawer,230,True,True,False
google_robot_open_drawer,231,True,True,True
google_robot_open_drawer,232,False,False,False
google_robot_open_drawer,233,True,True,True
google_robot_open_drawer,234,True,True,True
google_robot_open_drawer,235,True,False,True
google_robot_open_drawer,236,False,False,True
google_robot_open_drawer,237,False,False,False
google_robot_open_drawer,238,False,False,False
google_robot_open_drawer,239,False,False,False
google_robot_open_drawer,240,False,True,True
google_robot_open_drawer,241,True,True,False
google_robot_open_drawer,242,False,True,False
google_robot_open_drawer,243,False,False,False
google_robot_open_drawer,244,False,False,False
google_robot_open_drawer,245,True,True,True
google_robot_open_drawer,246,True,True,False
google_robot_open_drawer,247,True,True,True
google_robot_open_drawer,248,False,False,False
google_robot_open_drawer,249,False,True,True
google_robot_open_drawer,250,True,False,True
google_robot_open_drawer,251,True,False,True
google_robot_open_drawer,252,False,False,False
google_robot_open_drawer,253,False,False,True
google_robot_open_drawer,254,True,True,True
google_robot_open_drawer,255,False,False,False
google_robot_open_drawer,256,True,True,True
google_robot_open_drawer,257,False,True,False
google_robot_open_drawer,258,False,False,True
google_robot_open_drawer,259,False,True,True
google_robot_open_drawer,260,False,False,False
google_robot_open_drawer,261,False,True,True
google_robot_open_drawer,262,False,True,True
google_robot_open_drawer,263,True,False,True
google_robot_open_drawer,264,True,True,True
google_robot_open_drawer,265,False,False,True
google_robot_open_drawer,266,False,True,False
google_robot_open_drawer,267,False,True,True
google_robot_open_drawer,268,False,True,True
google_robot_open_drawer,269,False,False,False
google_robot_open_drawer,270,False,False,False
google_robot_open_drawer,271,True,True,True
google_robot_open_drawer,272,False,False,False
google_robot_open_drawer,273,True,True,True
google_robot_open_drawer,274,False,False,False
google_robot_open_drawer,275,False,True,False
google_robot_open_drawer,276,False,False,True
google_robot_open_drawer,277,False,False,True
google_robot_open_drawer,278,True,True,True
google_robot_open_drawer,279,False,False,False
google_robot_open_drawer,280,False,True,True
google_robot_open_drawer,281,True,True,True
google_robot_open_drawer,282,True,True,True
google_robot_open_drawer,283,False,True,True
google_robot_open_drawer,284,True,True,True
google_robot_open_drawer,285,True,True,True
google_robot_open_drawer,286,False,False,True
google_robot_open_drawer,287,False,False,False
google_robot_open_drawer,288,False,False,False
google_robot_open_drawer,289,False,False,False
google_robot_open_drawer,290,True,True,True
google_robot_open_drawer,291,False,False,False
google_robot_open_drawer,292,True,True,False
google_robot_open_drawer,293,False,True,False
google_robot_open_drawer,294,False,False,False
google_robot_open_drawer,295,False,False,True
google_robot_open_drawer,296,False,True,False
google_robot_open_drawer,297,False,True,True
google_robot_open_drawer,298,False,True,True
google_robot_open_drawer,299,False,False,False
google_robot_close_drawer,0,False,True,True
google_robot_close_drawer,1,False,False,True
google_robot_close_drawer,2,False,False,True
google_robot_close_drawer,3,True,True,True
google_robot_close_drawer,4,True,True,True
google_robot_close_drawer,5,False,True,True
google_robot_close_drawer,6,False,True,True
google_robot_close_drawer,7,True,True,True
google_robot_close_drawer,8,True,True,True
google_robot_close_drawer,9,True,True,False
google_robot_close_drawer,10,True,True,True
google_robot_close_drawer,11,True,True,True
google_robot_close_drawer,12,False,False,True
google_robot_close_drawer,13,False,True,True
google_robot_close_drawer,14,True,True,True
google_robot_close_drawer,15,False,True,True
