layers,selection_score,target_response,target_mask_response,correct_response_fraction,positive_task_count,synonym_mask_jaccard,synonym_score_cosine,mean_components,mean_isolated_ratio,mean_largest_component_ratio,mean_visual_attention_mass,fixed_position_frequency_peak
[0],0.29140625,1.617815966407458e-05,0.0,0.16666666666666666,1,0.9853890507592112,0.9999312665460872,8.566666666666666,0.14645573169068002,0.500713488061797,0.7939029494921367,0.6666666666666666
[1],0.24765625000000002,-9.159697219729424e-05,0.0,0.0,1,0.9517231639059743,0.9996399185367938,9.366666666666667,0.17626679498855494,0.5041375086468168,0.3898668254415194,0.9666666666666667
[2],0.28046875000000004,0.0009938525035977364,0.0,0.16666666666666666,1,0.9295604375469051,0.9978378904383742,7.55,0.12628736858979156,0.5365986833140409,0.036905403280009824,0.9666666666666667
[3],0.40625,0.0031225630858292184,-0.001736111111111111,0.6666666666666666,3,0.938374947655592,0.9972777617770021,8.116666666666667,0.14325483066531225,0.5097596038079364,0.03524675344427427,0.75
[4],0.32421875,0.0010896124100933473,-0.001388888888888889,0.3333333333333333,2,0.9399958316200312,0.9963952143848915,8.066666666666666,0.13742557723401866,0.5114297890433427,0.04337042672559619,1.0
[5],0.26953125,0.0021955433767288923,-0.001736111111111111,0.0,2,0.9359075777998856,0.994869509774863,8.75,0.14886383657435198,0.45276023278710853,0.06547313779592515,1.0
[6],0.5625,0.011985205579549074,0.0004913955518794227,0.6666666666666666,2,0.924376320364819,0.9937452266498324,9.25,0.1485607602584043,0.47105420044211266,0.07319272539267938,0.6666666666666666
[7],0.8640625000000001,0.06876221780354778,0.027368808013969303,0.6666666666666666,2,0.9164061173320494,0.9912022266730873,9.533333333333333,0.17465594025216732,0.43141397398901893,0.08819348042209943,0.95
[8],0.8,0.05057166858265797,0.02260678016726404,0.6666666666666666,2,0.909387158580233,0.992748762459346,8.216666666666667,0.13970545116221103,0.50529933605133,0.16937550542255242,0.8333333333333334
[9],0.7515625,0.04022933760037025,0.02272194651226909,0.6666666666666666,2,0.9057577182793907,0.9921352345793094,9.283333333333333,0.17650317196689722,0.44769347624499634,0.1202448382973671,0.95
[10],0.6984375000000002,0.03345037282754978,0.02114379422847165,0.8333333333333334,3,0.8806759098433061,0.9898062185857259,7.916666666666667,0.12787517251088207,0.5050324265595655,0.17161090957621733,0.6
[11],0.8687500000000001,0.07858537199596564,0.08950550271114788,0.6666666666666666,2,0.8952779114503949,0.9903690250229934,6.8,0.10164037079261841,0.5973151279946414,0.22180481354395548,0.6333333333333333
[12],0.7468750000000001,0.0317831488015751,0.06575136706185093,0.6666666666666666,2,0.9119988974503079,0.99240769733986,7.883333333333334,0.1455486851974676,0.5981113562086685,0.22056034381190937,0.7833333333333333
[13],0.721875,0.02117758011445403,0.0296474358974359,0.6666666666666666,2,0.9233029897613905,0.9945099412287246,8.483333333333333,0.14523594446562343,0.5222286926402002,0.18185053368409473,0.6666666666666666
[14],0.8125000000000001,0.0402367051380376,0.10080128205128207,0.6666666666666666,2,0.9032092553410789,0.9926081410218071,8.566666666666666,0.166722803695436,0.5150392015756623,0.35296548157930374,0.7333333333333333
[15],0.51796875,0.011150762593994537,0.009509121404282695,0.5,2,0.9131630496679909,0.9940017225605066,10.05,0.18477080381476185,0.4486355704845296,0.23663983593384424,0.7666666666666667
[16],0.63671875,0.020751685214539368,0.024065745335906625,0.5,2,0.9161937907821169,0.991637065354641,11.066666666666666,0.18063892426318653,0.4018801787983582,0.18081575420995552,0.7166666666666667
[17],0.73203125,0.03447486568863193,0.05196759259259259,0.5,3,0.9106600902959495,0.9901383101121904,11.133333333333333,0.20341383953406567,0.3784890147154918,0.1827588138480981,0.8833333333333333
