task,seed,stage,category,step,entered_boost_rank,entered_difference,entered_p,entered_p_rank,entered_q,entered_q_rank,entered_rc,entered_token,exited_boost_rank,exited_difference,exited_p,exited_p_rank,exited_q,exited_q_rank,exited_rc,exited_token,index,only_action_l2_vs_correct,only_residual_cosine_vs_correct,undo_action_l2_vs_boost,undo_residual_cosine_vs_boost
close_drawer,0,middle,both_success,56,46,0.0010362416885796423,0.005691288935614081,47,0.004655047247034439,50,"[6, 5]",101,48,-0.0020425622980214907,0.006078766258570425,45,0.008121328556591915,39,"[12, 7]",199,0,0.0,0.9938821519500732,0.0,0.9938821519500732
close_drawer,1,early,both_success,13,16,0.004205120648280838,0.01921542513698825,18,0.01501030448870741,22,"[12, 7]",199,18,3.221628922356681e-05,0.019979145351182757,16,0.01994692906195919,14,"[11, 1]",177,0,0.0,0.9813725080113167,0.0,0.9813725080113167
close_drawer,1,middle,both_success,56,5,0.013612032799441648,0.04203224321813182,7,0.028420210418690174,12,"[10, 4]",164,8,-0.0010082135773543596,0.042099229027483025,6,0.043107442604837384,5,"[9, 3]",147,0,0.0,0.989087013115472,0.0,0.989087013115472
close_drawer,3,early,both_success,13,22,0.006029628407430956,0.010651425667224977,25,0.004621797259794022,51,"[13, 8]",216,24,-0.0013935798151861675,0.011304982530476473,22,0.012698562345662641,21,"[11, 7]",183,0,0.014118062926273711,0.9854440434619224,0.014118062926273711,0.9854440434619224
close_drawer,3,middle,both_success,56,24,0.0014924135907805882,0.0067180641582727015,26,0.005225650567492113,31,"[11, 10]",186,25,-0.0025537570307181427,0.007347682132465981,23,0.009901439163184124,23,"[11, 4]",180,0,0.004667983202373244,0.9914069254126691,0.004667983202373244,0.9914069254126691
close_drawer,3,late,both_success,99,28,0.0014559481031878804,0.007980329928645002,29,0.006524381825457122,31,"[9, 4]",148,29,-0.0007336076625676542,0.008339459626696466,28,0.00907306728926412,22,"[6, 3]",99,0,0.0,0.9934996438170585,0.0,0.9934996438170585
close_drawer,5,early,harm,13,23,0.0071022577781497545,0.010024148024455469,30,0.0029218902463057144,76,"[15, 6]",246,29,-0.005202332750588363,0.01053038379118875,28,0.015732716541777114,17,"[8, 1]",129,0,0.0,0.9963730740021435,0.0,0.9963730740021435
close_drawer,7,late,both_success,99,52,0.0005795585172955245,0.004068287270512853,55,0.0034887287532173283,61,"[5, 8]",88,57,-0.00432824397261495,0.004140799608693977,52,0.008469043581308927,34,"[6, 1]",97,0,0.0,0.9821616120738,0.0,0.9821616120738
close_drawer,8,middle,both_success,56,44,0.0007253691004098194,0.005193123217855948,46,0.004467754117446128,50,"[8, 6]",134,46,0.00013353459494056582,0.0053115889645068025,44,0.005178054369566237,46,"[0, 0]",0,0,0.0,0.9966665892443081,0.0,0.9966665892443081
close_drawer,8,late,both_success,99,45,0.0016225239828528194,0.00512536915145071,49,0.0035028451685978905,55,"[7, 11]",123,47,-0.0017164535649390397,0.005541777440211385,46,0.007258231005150425,41,"[12, 9]",201,0,0.0,0.9964464587056912,0.0,0.9964464587056912
close_drawer,9,early,both_fail,13,23,0.004397767740890529,0.007778063298433244,32,0.0033802955575427153,55,"[13, 3]",211,24,-0.0038612646857588088,0.009602701969673411,23,0.01346396665543222,17,"[10, 15]",175,0,0.05904728405148374,0.9896345050832015,0.05904728405148374,0.9896345050832015
close_drawer,10,early,both_success,13,41,0.0027401251173983193,0.005210592651098212,51,0.0024704675336998925,63,"[11, 7]",183,43,-0.001564632834090641,0.006424373139730664,41,0.007989005973821305,37,"[8, 15]",143,0,0.0,0.9871436282722035,0.0,0.9871436282722035
close_drawer,10,middle,both_success,56,46,0.0014401585887839942,0.0035801353785457134,51,0.002139976789761719,66,"[8, 9]",137,52,-0.0015430088380635502,0.003666065587659596,49,0.005209074425723146,35,"[6, 10]",106,0,0.0,0.9982047780230543,0.0489656727278934,0.9978352048998158
close_drawer,10,middle,both_success,56,47,0.0012690127330467833,0.0036118685284048137,50,0.0023428557953580303,62,"[7, 7]",119,51,-0.00023967384068197036,0.003701138764630265,47,0.003940812605312235,43,"[14, 0]",224,1,0.0,0.9865126138673526,0.0489656727278934,0.9866037075986034
close_drawer,11,late,both_success,99,52,0.0004377544682689267,0.001396775079402964,56,0.0009590206111340374,67,"[13, 6]",214,54,-0.000575104873083951,0.0015963912463663027,52,0.0021714961194502537,47,"[6, 14]",110,0,0.0,0.9890280246626283,0.0,0.9890280246626283
close_drawer,12,middle,both_success,56,6,0.01678558706559037,0.045275080822671496,7,0.028489493757081125,11,"[12, 9]",201,7,-0.007859312821126264,0.04595627938202394,6,0.05381559220315021,6,"[11, 8]",184,0,0.08371550498639838,0.8383154815180277,0.08371550498639838,0.8383154815180277
close_drawer,14,late,both_success,99,52,0.0005795585172955245,0.004068287270512853,55,0.0034887287532173283,61,"[5, 8]",88,57,-0.00432824397261495,0.004140799608693977,52,0.008469043581308927,34,"[6, 1]",97,0,0.0,0.9821616120738,0.0,0.9821616120738
close_drawer,15,middle,both_success,56,46,0.0010362416885796423,0.005691288935614081,47,0.004655047247034439,50,"[6, 5]",101,48,-0.0020425622980214907,0.006078766258570425,45,0.008121328556591915,39,"[12, 7]",199,0,0.0,0.9938821519500732,0.0,0.9938821519500732
close_drawer,16,early,both_success,13,26,0.001828393272505193,0.010908231169565923,29,0.00907983789706073,31,"[8, 6]",134,29,-0.001268277141814808,0.011160090847109241,27,0.01242836798892405,21,"[6, 4]",100,0,0.011071365759653173,0.9841695392564781,0.011071365759653173,0.9841695392564781
close_drawer,16,middle,both_success,56,38,0.0018060591993854262,0.004220748183159464,43,0.002414688983774038,61,"[6, 7]",103,45,1.2477158128750866e-05,0.004447682029039164,42,0.004435204870910413,41,"[5, 9]",89,0,0.0031590756598640912,0.9967365677358035,0.0,0.9966349757911844
close_drawer,16,middle,both_success,56,39,0.0018118991833878293,0.00419902799114683,44,0.0023871288077590004,62,"[7, 8]",120,44,4.675784431331601e-05,0.0044506446621451696,41,0.0044038868178318535,43,"[9, 4]",148,1,0.0031590756598640912,0.9971743738505902,0.0,0.9972971773591578
close_drawer,16,middle,both_success,56,42,0.0017431313616025766,0.004086399672050383,45,0.0023432683104478067,63,"[12, 9]",201,43,-0.00048804916590079826,0.004809147127376298,38,0.005297196293277096,33,"[5, 5]",85,2,0.0031590756598640912,0.9949932171784039,0.0,0.9966671073976252
close_drawer,17,middle,both_fail,56,4,0.001612649117549523,0.029257080142880386,5,0.027644431025330863,7,"[8, 1]",129,5,-0.009017662919032419,0.03005293466945509,4,0.03907059758848751,1,"[6, 15]",111,0,0.0,0.8395451061718302,0.0,0.8395451061718302
close_drawer,17,late,both_fail,99,27,0.002486190139436701,0.008709393157624541,34,0.00622320301818784,48,"[14, 7]",231,31,-0.0005212895348135071,0.00966902659402305,29,0.010190316128836557,29,"[11, 4]",180,0,0.0,0.998193167377206,0.0,0.9981370625401523
close_drawer,17,late,both_fail,99,28,0.0009006413572879932,0.009466806502354786,30,0.008566165145066792,36,"[9, 6]",150,30,-0.0014096190526844046,0.009696783487448337,28,0.011106402540132742,27,"[12, 3]",195,1,0.0,0.9921626004904667,0.0,0.9924871999252269
close_drawer,19,late,harm,99,35,0.002936235612707097,0.005953647888753754,38,0.003017412276046657,59,"[8, 7]",135,38,-0.002552474755081944,0.006179696436231454,35,0.008732171191313398,24,"[4, 10]",74,0,0.0,0.9971951004204732,0.0,0.9971951004204732
close_drawer,21,late,both_fail,99,31,0.0012445957231873748,0.0061898245612219795,32,0.004945228838034605,34,"[11, 7]",183,32,0.0002226471911119512,0.006244906312943399,31,0.006022259121831448,31,"[11, 2]",178,0,0.011071365759653173,0.9956376819811625,0.011071365759653173,0.9956376819811625
close_drawer,22,early,both_success,13,33,0.005122283692929122,0.006098687436046383,45,0.0009764037431172616,95,"[10, 7]",167,44,-0.0022381047702241677,0.006510687572345192,41,0.00874879234256936,32,"[9, 13]",157,0,0.0,0.9883027231220849,0.0,0.9896173572689242
close_drawer,22,early,both_success,13,39,0.003491492375191224,0.005843430405669943,48,0.002351938030478719,64,"[9, 7]",151,42,-0.001722668914487812,0.006636723789348889,40,0.008359392703836701,34,"[10, 14]",174,1,0.0,0.9937604760220371,0.0,0.9937734914091904
close_drawer,22,middle,both_success,56,44,0.001422962409202609,0.003186783176222272,49,0.001763820767019663,56,"[8, 10]",138,47,-3.803029593044431e-05,0.00374704488761879,43,0.003785075183549234,42,"[8, 4]",132,0,0.0,0.9943927280529531,0.0,0.9943927280529531
close_drawer,22,late,both_success,99,53,0.0009670833725508065,0.0020355776462939405,55,0.001068494273743134,67,"[15, 15]",255,57,0.0001652521192196609,0.002086038595507558,54,0.001920786476287897,52,"[7, 10]",122,0,0.0,0.9934181473585741,0.0,0.9936018099086487
close_drawer,22,late,both_success,99,54,0.0009727051707774168,0.0019080701268461696,56,0.0009353649560687529,73,"[8, 8]",136,55,-0.0004026518626230177,0.0023728864365870333,51,0.002775538299210051,48,"[5, 4]",84,1,0.0,0.9969683517479272,0.0,0.9967735256181703
close_drawer,23,early,both_success,13,22,0.006029628407430956,0.010651425667224977,25,0.004621797259794022,51,"[13, 8]",216,24,-0.0013935798151861675,0.011304982530476473,22,0.012698562345662641,21,"[11, 7]",183,0,0.014118062926273711,0.9854440434619224,0.014118062926273711,0.9854440434619224
close_drawer,23,middle,both_success,56,24,0.0014924135907805882,0.0067180641582727015,26,0.005225650567492113,31,"[11, 10]",186,25,-0.0025537570307181427,0.007347682132465981,23,0.009901439163184124,23,"[11, 4]",180,0,0.004667983202373244,0.9914069254126691,0.004667983202373244,0.9914069254126691
close_drawer,23,late,both_success,99,28,0.0014559481031878804,0.007980329928645002,29,0.006524381825457122,31,"[9, 4]",148,29,-0.0007336076625676542,0.008339459626696466,28,0.00907306728926412,22,"[6, 3]",99,0,0.0,0.9934996438170585,0.0,0.9934996438170585
close_drawer,25,late,both_success,99,52,0.0005795585172955245,0.004068287270512853,55,0.0034887287532173283,61,"[5, 8]",88,57,-0.00432824397261495,0.004140799608693977,52,0.008469043581308927,34,"[6, 1]",97,0,0.0,0.9821616120738,0.0,0.9821616120738
close_drawer,26,early,both_success,13,22,0.004337789024487477,0.010420568298853518,30,0.006082779274366041,47,"[13, 8]",216,28,-0.004048012145314254,0.010998429965219894,26,0.015046442110534148,17,"[11, 2]",178,0,0.0,0.9912402962184567,0.0,0.9912402962184567
close_drawer,26,middle,both_success,56,53,0.0006621726463660019,0.00322092578484282,55,0.002558753138476818,68,"[9, 6]",150,56,-0.0004538110719920557,0.0034034690109217927,53,0.0038572800829138484,53,"[14, 5]",229,0,0.0,0.9845029705904539,0.0,0.9845029705904539
close_drawer,26,late,both_success,99,51,0.0009702911334307871,0.0026383569982147454,56,0.0016680658647839582,77,"[9, 6]",150,52,-0.0017590335195050541,0.003047408502533724,51,0.004806442022038778,44,"[4, 14]",78,0,0.0,0.9807946297881128,0.0,0.9807946297881128
close_drawer,27,early,harm,13,12,0.0027576955354019876,0.019106177738714036,17,0.01634848220331205,18,"[9, 2]",146,15,-0.0017031935518081048,0.019782380416188235,13,0.02148557396799634,9,"[8, 6]",134,0,0.0,0.9905554399685998,0.0,0.9905554399685998
