task,seed,stage,category,step,m,swap_count,historical_mask_jaccard,residual_cosine,action_l2,action_changed_dims,feature_norm_delta,residual_norm_delta,component_delta,isolated_ratio_delta,max_single_swap_action_l2,sum_single_swap_action_l2,interaction_only_action_change
close_drawer,0,early,both_success,13,23,0,0.9166666666666666,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,0,middle,both_success,56,46,1,0.7608695652173914,0.9938821519500732,0.0,0,2.7740478515625,-2.6374893188476562,0,0.0,0.0,0.0,0
close_drawer,0,late,both_success,99,40,0,0.6428571428571429,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,1,early,both_success,13,17,1,0.8095238095238095,0.9813725080113167,0.0,0,-6.399940490722656,2.0488128662109375,0,0.0,0.0,0.0,0
close_drawer,1,middle,both_success,56,6,1,0.6666666666666666,0.989087013115472,0.0,0,0.5638046264648438,-0.390716552734375,0,0.0,0.0,0.0,0
close_drawer,1,late,both_success,99,4,0,0.2222222222222222,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,2,early,harm,13,4,0,0.13793103448275862,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,2,middle,harm,56,24,0,0.5416666666666666,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,2,late,harm,99,15,0,0.875,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,3,early,both_success,13,23,1,0.8846153846153846,0.9854440434619224,0.014118062926273711,1,1.197540283203125,-0.7593231201171875,0,0.0,0.014118062926273711,0.014118062926273711,0
close_drawer,3,middle,both_success,56,24,1,0.92,0.9914069254126691,0.004667983202373244,1,-2.677093505859375,1.3129425048828125,0,0.0,0.004667983202373244,0.004667983202373244,0
close_drawer,3,late,both_success,99,28,1,0.9310344827586207,0.9934996438170585,0.0,0,0.5689849853515625,-0.6821441650390625,-1,-0.03571428571428571,0.0,0.0,0
close_drawer,4,early,both_success,13,20,0,0.9523809523809523,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,4,middle,both_success,56,52,0,0.8653846153846154,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,4,late,both_success,99,44,0,0.8958333333333334,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,5,early,harm,13,28,1,1.0,0.9963730740021435,0.0,0,0.798095703125,-2.5342254638671875,-1,-0.03571428571428571,0.0,0.0,0
close_drawer,5,middle,harm,56,38,0,0.6851851851851852,0.9999999999999998,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,5,late,harm,99,54,0,0.8448275862068966,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,6,early,both_success,13,29,0,0.896551724137931,0.9999999999999998,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,6,middle,both_success,56,50,0,0.68,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,6,late,both_success,99,47,0,0.723404255319149,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,7,early,both_success,13,28,0,0.8571428571428571,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,7,middle,both_success,56,22,0,0.5526315789473685,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,7,late,both_success,99,52,1,0.8909090909090909,0.9821616120738,0.0,0,1.5565948486328125,1.5547943115234375,1,0.019230769230769232,0.0,0.0,0
close_drawer,8,early,both_success,13,33,0,0.48484848484848486,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,8,middle,both_success,56,44,1,0.8723404255319149,0.9966665892443081,0.0,0,1.7740020751953125,-0.898468017578125,-1,-0.02272727272727272,0.0,0.0,0
close_drawer,8,late,both_success,99,46,1,0.9148936170212766,0.9964464587056912,0.0,0,-2.453155517578125,-0.3316650390625,0,0.0,0.0,0.0,0
close_drawer,9,early,both_fail,13,23,1,0.8695652173913043,0.9896345050832015,0.05904728405148374,1,0.0493316650390625,3.0048828125,-1,-0.043478260869565216,0.05904728405148374,0.05904728405148374,0
close_drawer,9,middle,both_fail,56,30,0,0.7,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,9,late,both_fail,99,5,0,0.11363636363636363,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,10,early,both_success,13,41,1,1.0,0.9871436282722035,0.0,0,3.2000579833984375,7.5672454833984375,0,0.024390243902439025,0.0,0.0,0
close_drawer,10,middle,both_success,56,49,2,0.74,0.9850666274214033,0.0489656727278934,1,0.4312896728515625,-3.3792724609375,-1,0.0,0.0,0.0,1
close_drawer,10,late,both_success,99,51,0,0.8245614035087719,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,11,early,both_success,13,45,0,0.4888888888888889,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,11,middle,both_success,56,54,0,1.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,11,late,both_success,99,53,1,0.9814814814814815,0.9890280246626283,0.0,0,3.5223388671875,0.9628448486328125,-1,-0.018867924528301886,0.0,0.0,0
close_drawer,12,early,both_success,13,31,0,1.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,12,middle,both_success,56,6,1,1.0,0.8383154815180277,0.08371550498639838,1,2.6596603393554688,-6.258720397949219,0,0.0,0.08371550498639838,0.08371550498639838,0
close_drawer,12,late,both_success,99,6,0,1.0,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,13,early,harm,13,61,0,0.13114754098360656,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,13,middle,harm,56,57,0,1.0,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,13,late,harm,99,51,0,0.9411764705882353,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,14,early,both_success,13,28,0,0.8571428571428571,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,14,middle,both_success,56,22,0,0.5526315789473685,0.9999999999999999,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,14,late,both_success,99,52,1,0.8909090909090909,0.9821616120738,0.0,0,1.5565948486328125,1.5547943115234375,1,0.019230769230769232,0.0,0.0,0
close_drawer,15,early,both_success,13,23,0,0.9166666666666666,1.0000000000000002,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,15,middle,both_success,56,46,1,0.7608695652173914,0.9938821519500732,0.0,0,2.7740478515625,-2.6374893188476562,0,0.0,0.0,0.0,0
close_drawer,15,late,both_success,99,40,0,0.6428571428571429,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
close_drawer,16,early,both_success,13,27,1,0.8181818181818182,0.9841695392564781,0.011071365759653173,1,-1.563385009765625,-1.4212646484375,1,0.07407407407407407,0.011071365759653173,0.011071365759653173,0
close_drawer,16,middle,both_success,56,42,3,0.7727272727272727,0.9887707770289975,0.0031590756598640912,1,8.657974243164062,-1.3026123046875,-1,0.0,0.0031590756598640912,0.009477226979592274,0
close_drawer,16,late,both_success,99,34,0,0.11764705882352941,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
