task,seed,category,vanilla_success,l11_success,tau_all_adjacent,tau_l7_l15_adjacent,tau_l10_l12_adjacent,tau_l11_to_all
google_robot_close_drawer,0,rescue,False,True,0.809123972169513,0.8169245302287581,0.7816789215686275,0.6056286896479023
google_robot_close_drawer,1,rescue,False,True,0.7955554818917091,0.7993004493464054,0.7999387254901963,0.6037781069642525
google_robot_close_drawer,9,harm,True,False,0.7969751475859163,0.7984017565359478,0.7928819444444445,0.6373965580855998
google_robot_close_drawer,21,both_fail,False,False,0.799358264811301,0.7976051879084968,0.8040339052287582,0.5890134145055872
google_robot_close_drawer,49,harm,True,False,0.8033773788818924,0.7976878983904611,0.8188725490196079,0.6282009729926669
google_robot_move_near,0,both_success,True,True,0.8328701507484716,0.8407194648692812,0.8127144607843139,0.6582582226438963
google_robot_move_near,1,both_fail,False,False,0.8374308191018344,0.8310610702614379,0.8144097222222223,0.6441677208517815
google_robot_move_near,2,rescue,False,True,0.8371486028597995,0.8340175653594771,0.8357638888888891,0.6620675436361114
google_robot_move_near,13,both_fail,False,False,0.836785789584651,0.8479549632352943,0.8251327614379086,0.6579030940333124
google_robot_move_near,31,both_fail,False,False,0.8292121283997469,0.8317121119281047,0.8252450980392156,0.6298624288425049
google_robot_move_near,73,rescue,False,True,0.8406520134935697,0.8389016544117648,0.8046772875816995,0.6441776038372339
google_robot_move_near,89,both_fail,False,False,0.8359780202403543,0.8457592933006537,0.8296772875816995,0.6544124235715792
google_robot_move_near,95,rescue,False,True,0.8406520134935697,0.8389016544117648,0.8046772875816995,0.6441776038372339
google_robot_move_near,98,both_success,True,True,0.8349903805608266,0.8356464460784313,0.8081392973856211,0.6401829011174364
google_robot_move_near,99,both_fail,False,False,0.8262525036896481,0.83195210375817,0.8316993464052288,0.6466094771241832
google_robot_open_drawer,0,both_fail,False,False,0.8006008855154966,0.7997549019607844,0.7788500816993463,0.6181695393211049
google_robot_open_drawer,1,rescue,False,True,0.7955603329750436,0.7987796160130719,0.7811172385620916,0.6002290259921765
google_robot_open_drawer,2,rescue,False,True,0.7947398860059608,0.7965977568025094,0.771701388888889,0.5810863892324435
google_robot_open_drawer,11,both_success,True,True,0.8061234977862112,0.817123672385621,0.7974979575163399,0.6393066097406706
google_robot_open_drawer,32,rescue,False,True,0.823761534978762,0.7969592524509804,0.7879289215686276,0.5953986574630349
google_robot_open_drawer,56,rescue,False,True,0.8055186590765339,0.8072610294117647,0.7807495915032682,0.6286468216318787
google_robot_open_drawer,93,rescue,False,True,0.8070841239721696,0.8016390931372549,0.7617953431372549,0.6211383881509593
google_robot_open_drawer,95,both_fail,False,False,0.7940254058612694,0.8043709150326798,0.8056985294117648,0.6250454617330804
google_robot_open_drawer,97,rescue,False,True,0.7948028673835127,0.8060125612745099,0.8099468954248367,0.6287812302340292
google_robot_open_drawer,99,both_success,True,True,0.7970390575585075,0.7943704044117648,0.7912990196078432,0.6067929053341766
google_robot_pick_coke_can,0,rescue,False,True,0.8395596141682479,0.847293709150327,0.8548713235294119,0.7159623392367701
google_robot_pick_coke_can,1,both_fail,False,False,0.8368227111981398,0.8528569240196079,0.8269097222222223,0.7091518672946945
google_robot_pick_coke_can,3,both_success,True,True,0.8432442149907273,0.8521369485294118,0.8434640522875818,0.723708834816945
google_robot_pick_coke_can,5,harm,True,False,0.8460250632511072,0.8558644812091504,0.8491013071895427,0.7271426312460468
google_robot_pick_coke_can,30,both_fail,False,False,0.8264341186334384,0.8236340890522876,0.8151450163398694,0.6754939223205633
google_robot_pick_coke_can,59,rescue,False,True,0.8314700611427367,0.8348345588235295,0.8211601307189543,0.6769989985241409
google_robot_pick_coke_can,95,harm,True,False,0.8275719940241132,0.8267054738562093,0.8344669117647059,0.6913277745104432
google_robot_pick_coke_can,96,both_fail,False,False,0.8397829696394687,0.8471558415032682,0.8460886437908498,0.7057505798018132
google_robot_pick_coke_can,97,both_fail,False,False,0.8329015589989209,0.8441176470588235,0.8520322712418301,0.7196860298731428
google_robot_pick_coke_can,99,harm,True,False,0.8380093031836391,0.8406709558823531,0.8220894607843139,0.7050139679527726
