task,seed,step,phase,category,vanilla_success,l11_success,source,tau_all_adjacent,tau_l7_l15_adjacent,tau_l10_l12_adjacent,tau_l11_to_all
google_robot_close_drawer,0,11,early,rescue,False,True,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_l11_budget_diagnostic_v1/states/google_robot_close_drawer/seed_000/step_011.npz,0.80061472169513,0.8194929534313726,0.7804534313725491,0.5973177577482607
google_robot_close_drawer,0,56,middle,rescue,False,True,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_l11_budget_diagnostic_v1/states/google_robot_close_drawer/seed_000/step_056.npz,0.8106558349146111,0.8143229166666667,0.7822303921568629,0.6139014073371285
google_robot_close_drawer,0,101,late,rescue,False,True,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_l11_budget_diagnostic_v1/states/google_robot_close_drawer/seed_000/step_101.npz,0.8161013598987982,0.8169577205882353,0.7823529411764706,0.6056669038583176
google_robot_close_drawer,1,11,early,rescue,False,True,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_l11_budget_diagnostic_v1/states/google_robot_close_drawer/seed_001/step_011.npz,0.8115268118466624,0.8035462622549021,0.8153799019607844,0.6058895037739871
google_robot_close_drawer,1,56,middle,rescue,False,True,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_l11_budget_diagnostic_v1/states/google_robot_close_drawer/seed_001/step_056.npz,0.7879822896900697,0.7965226715686275,0.7996323529411766,0.6025616698292221
google_robot_close_drawer,1,101,late,rescue,False,True,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_l11_budget_diagnostic_v1/states/google_robot_close_drawer/seed_001/step_101.npz,0.7871573441383953,0.7978324142156864,0.7848039215686275,0.6028831472895482
google_robot_close_drawer,9,11,early,harm,True,False,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_l11_budget_diagnostic_v1/states/google_robot_close_drawer/seed_009/step_011.npz,0.8128814832384568,0.8361749387254902,0.8290747549019608,0.6572778304870335
google_robot_close_drawer,9,56,middle,harm,True,False,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_l11_budget_diagnostic_v1/states/google_robot_close_drawer/seed_009/step_056.npz,0.7916943390259332,0.7908624387254903,0.7935661764705884,0.6286547280202405
google_robot_close_drawer,9,101,late,harm,True,False,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_l11_budget_diagnostic_v1/states/google_robot_close_drawer/seed_009/step_101.npz,0.7863496204933587,0.7681678921568629,0.7560049019607844,0.6262571157495255
google_robot_close_drawer,21,11,early,both_fail,False,False,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_l11_budget_diagnostic_v1/states/google_robot_close_drawer/seed_021/step_011.npz,0.7997450189753321,0.7926853553921569,0.7995098039215687,0.5745038741302974
google_robot_close_drawer,21,56,middle,both_fail,False,False,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_l11_budget_diagnostic_v1/states/google_robot_close_drawer/seed_021/step_056.npz,0.7959835547122076,0.7958256740196079,0.8054534313725491,0.6017077798861479
google_robot_close_drawer,21,101,late,both_fail,False,False,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_l11_budget_diagnostic_v1/states/google_robot_close_drawer/seed_021/step_101.npz,0.802346220746363,0.8043045343137255,0.8071384803921569,0.5908285895003164
google_robot_close_drawer,49,11,early,harm,True,False,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_l11_budget_diagnostic_v1/states/google_robot_close_drawer/seed_049/step_011.npz,0.806702640733713,0.8126148897058825,0.8431985294117648,0.6238871758380772
google_robot_close_drawer,49,56,middle,harm,True,False,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_l11_budget_diagnostic_v1/states/google_robot_close_drawer/seed_049/step_056.npz,0.7875225253826214,0.7809160236027554,0.8199142156862746,0.6080678200788117
google_robot_close_drawer,49,101,late,harm,True,False,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_l11_budget_diagnostic_v1/states/google_robot_close_drawer/seed_049/step_101.npz,0.8159069705293431,0.7995327818627451,0.7935049019607844,0.6526479230611114
google_robot_move_near,0,8,early,both_success,True,True,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_layer_selection_v1/states/google_robot_move_near/seed_000/step_008.npz,0.8227783048703354,0.8132582720588236,0.7826899509803923,0.6300205566097407
google_robot_move_near,0,40,middle,both_success,True,True,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_layer_selection_v1/states/google_robot_move_near/seed_000/step_040.npz,0.8375929000632509,0.8479626225490197,0.8124387254901961,0.6595785895003164
google_robot_move_near,0,71,late,both_success,True,True,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_layer_selection_v1/states/google_robot_move_near/seed_000/step_071.npz,0.8382392473118282,0.8609375000000001,0.8430147058823529,0.685175521821632
google_robot_move_near,1,8,early,both_fail,False,False,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_layer_selection_v1/states/google_robot_move_near/seed_001/step_008.npz,0.8391840607210627,0.836389399509804,0.8253063725490196,0.6502787001897532
google_robot_move_near,1,40,middle,both_fail,False,False,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_layer_selection_v1/states/google_robot_move_near/seed_001/step_040.npz,0.8361638203668564,0.8264782475490197,0.8081188725490196,0.6416310879190386
google_robot_move_near,1,71,late,both_fail,False,False,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_layer_selection_v1/states/google_robot_move_near/seed_001/step_071.npz,0.836944576217584,0.8303155637254902,0.8098039215686276,0.6405933744465528
google_robot_move_near,2,8,early,rescue,False,True,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_layer_selection_v1/states/google_robot_move_near/seed_002/step_008.npz,0.8384915865680134,0.8193244485294118,0.839920343137255,0.6529463848615282
google_robot_move_near,2,40,middle,rescue,False,True,/home/leju-suzhou/zjt_ws/token-cd/artifacts/prompt_attn_layer_selection_v1/states/google_robot_move_near/seed_002/step_040.npz,0.8347663662239089,0.8354166666666667,0.8285232843137256,0.664150458570525
